 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.03                           US0SIX,Ivano-Frankivs'k KN28JW (IF) 
 70.73 H        4.000 KN77NU     UR 3 Radio Kul'tura,Zaporizhzhya/ZFKRRT, vul. Matrosova, 24 (ZP) 
                0.200 KN48OM     UR 1 Persha Prog.,Trostyanets'/OKP Agroinform (VI) (i)
 70.76 H 6000  17.000 KN38JQ     UR 1 Persha Prog.,Kul'chiyivtsi/KHFKRRT, vul. Tsentral'na, 52/1 (KM) 
 70.79 V        3.000 KO51PM     Svitle radio Emmanuyil,Chernihiv/vul. Shchorsa, 12 (CH) 
 70.83 H        4.000 KN98PN     ,Luhans'k/LFKRRT, vul. Dem'okhina, 25 (LU) (i)
 70.88          0.200 KN39EA     UR 1 Persha Prog.,Chemerivtsi/KHFKRRT, vul. Chapayeva, 72a (KM) 
 70.91 H        8.000 KN49EF     Radio Mariya v Ukraini,Vinnytsya/VFKRRT, vul. Maksymovycha, 23 (VI) 
 70.97 H       17.000 KO31TE     Golos Nadiyi,Olevs'k/ZHFKRRT, vul. Svyatomykolayivs'ka, 146 (ZH) 
       H       17.000 KN87TW     UR 2 Radio Promin',Donets'k/DFKRRT, vul. Pikhotna, 4a (DO) (i)
 71.00 H       17.000 KO60EP     UR 1 Persha Prog.,Pryluky/Horova Bileshchyna, CFKRRT, vul. Myru, 1a (CH) 
 71.03 H        4.000 KN29UO     UR Radio Lad,Ternopil'/Lozova, TFKRRT, vul. Pol'ova, 13 (TE) 
 71.06 H        0.300 KN77UF     UR 1 Persha Prog.,Tokmak/ZFKRRT, vul. Shchavy, 1 (ZP) (i)
 71.12 H       17.000 KO40HM     UR Radio Zhytomyrs'ka khvylia,Andrijivka/ZHFKRRT (ZH) (i)
 71.21 H        0.200 KN79GN     UR 1 Persha Prog.,Poltava/PFKRRT, prosp. Pershotravnevyj, 26a (PO) (i)
       H        0.100 KN69QC     UR 2 Radio Promin',Kremenchuk/PFKRRT, vul. Moskovs'ka, 12 (PO) 
 71.24 H        4.000 KN28IV     UR 1 Persha Prog.,Ivano-Frankivs'k/IVFKRRT, vul. Chornovola, 19 (IF) 
 71.27          0.200 KN48QT     UR 1 Persha Prog.,Haysin/Ukrtelecom, vul. Lenina, 33b (VI) 
 71.30 H       17.000 KO50FL     ,Kyiv/KFKRRT, vul. Dorogozhyts'ka, 10 (KC) (c)
       H        0.300 KN74DM     Radio Mayak [RUS],Nikita/RTPTS ARK, vul. Ptukhina, 38 (KR) (i)
 71.36 H        0.400 KN56JL     ,Odesa/hurtozhytok Sil's'kogospodars'koho instytutu, vul. Kanatna, 98 (OD) (c)
       H        0.240 KO20PS     UR 1 Persha Prog.,Luts'k/VFKRRT, vul. Slovats'kogo, 12 (VO) (i)
 71.51          0.300 KN77NU     Radio Mariya v Ukraini,Zaporizhzhya/ZFKRRT, vul. Matrosova, 24 (ZP) 
                0.200 KN79OE     UR 1 Persha Prog.,Zachepylivka/KHORTPTS, vul. Zhovtneva, 94 (KA) 
                0.150 KN39GD     UR 1 Persha Prog.,Horodok/KHFKRRT, vul. Radyans'ka, 1a (KM) 
 71.54 H       17.000 KN18FP     UR 2 Radio Promin',Uzhgorod/Yarok, ZFKRRT, gora Tokarnya (ZK) 
 71.63 H       17.000 KN67QV     UR 3 Radio Kul'tura,Kryvyj Rih/DFKRRT, vul. Televizijna, 8a (DP) 
 71.66 H       17.000 KN99KG     UR 1 Persha Prog.,Pidgorivka/LFKRRT (LU) 
       H       17.000 KN85FH     ,Kerch/RTPTS ARK, vul. Ordzhonikidze, 144a (KR) (i)
 71.69 H       10.000 KN49EF     UR 3 Radio Kul'tura,Vinnytsya/VFKRRT, vul. Maksymovycha, 23 (VI) 
 71.75 H        4.000 KN29UO     UR 2 Radio Promin',Ternopil'/Lozova, TFKRRT, vul. Pol'ova, 13 (TE) 
 71.78 H       17.000 KO31TE     UR 2 Radio Promin',Olevs'k/ZHFKRRT, vul. Svyatomykolayivs'ka, 146 (ZH) 
       H       17.000 KN56XX     ,Mykolayiv/Varvarivs'kyj RPTS, vul. Veselynivs'ka, 59 (MY) (c)
 71.84 H        0.400 KN77UF     UR 3 Radio Kul'tura,Tokmak/ZFKRRT, vul. Shchavy, 1 (ZP) 
 71.90 H       17.000 KO40HM     UR 2 Radio Promin',Andrijivka/ZHFKRRT (ZH) 
       H       17.000 KN18OF     UR 2 Radio Promin',Khust/ZFKRRT, gora Tovsta (ZK) 
       H       17.000 KN66HP     UR 3 Radio Kul'tura,Kherson/KHFKRRT, vul. Perekops'ka, 5 (KE) 
 71.93 H       17.000 KN48QI     UR 3 Radio Kul'tura,Bershad'/Balanivka, VFKRRT (VI) 
       H        0.210 KO20JL     UR 1 Persha Prog.,Horokhiv/VFKRRT, vul. Vatutina, 31b (VO) 
 71.96          0.200 KN39LC     UR 1 Persha Prog.,Solobkivtsi/KHFKRRT (KM) (i)
 72.02                KN28IV     UR 3 Radio Kul'tura,Ivano-Frankivs'k/IVFKRRT, vul. Chornovola, 19 (IF) 
 72.08 H       17.000 KO50FL     Studiya Maidan,Kyiv/KFKRRT, vul. Dorogozhyts'ka, 10 (KC) (c)
       H       17.000 KN89PE     UR 1 Persha Prog.,Izyum/KHORTPTS, vul. Kruta, 56 (KA) (i)
                1.300 KO20QR     UR 2 Radio Promin',Luts'k/Pidgaytsi, VFKRRT, vul. Dubnivs'ka, 67 (VO) 
 72.14 H        4.000 KN56IK     UR 3 Radio Kul'tura,Odesa/OORTPTS, vul. Fontans'ka doroga, 3 (OD) 
       H        0.300 KO20PS     UR 2 Radio Promin',Luts'k/VFKRRT, vul. Slovats'kogo, 12 (VO) (i)
         6000                    Golos Nadiyi,Vovkovyntsi/KHFKRRT-vulytsia Myru 91/1 (KM) 
 72.20 H       17.000 KN75KG     Radio Mayak [RUS],Chapayivka/RTPTS ARK, vul. 40 rokiv Peremogy, 19 (KR) (i)
       H       17.000 KN69AL     UR 1 Persha Prog.,Cherkasy/CHFKRRT, vul. Pal'okhy, 2 (CK) (i)
 72.29 H       17.000 KN77NU     UR 3 Radio Kul'tura,Zaporizhzhya/ZFKRRT, vul. Matrosova, 24 (ZP) 
                0.200 KO50MH     UR 1 Persha Prog.,Ivankiv/vul. Polis'ka, 125 (KY) (i)
 72.35 H       17.000 KO51PM     ,Chernihiv/CHFKRRT, vul. Komsomol's'ka, 53b (CH) (c)
                0.050 KN59CJ     UR 1 Persha Prog.,Stavyshche/vul. Radyans'ka, 42 (KY) (i)
 72.38 H        0.060 KN74AJ     Radio Mayak [RUS],Alupka/RTPTS ARK, vul. Lenina, 52 (KR) (i)
 72.44 V        0.200 KN58AC     Savran' FM,Kovbasova Polyana/OORTPTS (OD) (p)
                0.200 KN39EA     ,Chemerivtsi/KHFKRRT, vul. Chapayeva, 72a (KM) (c)
 72.47 H       17.000 KN49EF     Yaskrave Radio,Vinnytsya/VFKRRT, vul. Maksymovycha, 23 (VI) 
 72.53          3.000 KN45KI     UR 1 Persha Prog.,Izmayil/OORTPTS, vul. Telehrafna, 260 (OD) (i)
 72.56 H       17.000 KO60EP     UR 2 Radio Promin',Pryluky/Horova Bileshchyna, CFKRRT, vul. Myru, 1a (CH) (i)
 72.68 H       17.000 KO40HM     UR 1 Persha Prog.,Andrijivka/ZHFKRRT (ZH) (c)
 72.71 H        8.000 KN28CC     UR 2 Radio Promin',Rakhiv/ZFKRRT, gora Terentyn (ZK) (i)
 72.74          0.200 KN57JM     UR 1 Persha Prog.,Mykolayivka/vul. D. Koval'ovoyi, 1 (OD) 
 72.80 H        4.000 KN28IV     UR 2 Radio Promin',Ivano-Frankivs'k/IVFKRRT, vul. Chornovola, 19 (IF) 
 72.86 H       17.000 KO50FL     ,Kyiv/KFKRRT, vul. Dorogozhyts'ka, 10 (KC) (c)
 72.89 H       17.000 KN38JQ     UR 2 Radio Promin',Kul'chiyivtsi/KHFKRRT, vul. Tsentral'na, 52/1 (KM) 
 72.92 H        0.400 KN56IK     Chornomors'ka khvilya,Odesa/OORTPTS, vul. Fontans'ka doroga, 3 (OD) (i)
 72.98 H       17.000 KN69AL     Golos Nadiyi,Cherkasy/CHFKRRT, vul. Pal'okhy, 2 (CK) 
       V        0.200 KN48ER     UR 1 Persha Prog.,Shargorod/Volodymyrka, Ukrtelekom (VI) 
 73.07 H        0.300 KN86JS     UR 3 Radio Kul'tura,Berdyans'k/ZFKRRT, vul. Rudenka, 4a (ZP) 
 73.30          0.200 KN49WM     UR 1 Persha Prog.,Volodarka/vul. Kooperatyvna, 13 (KY) (i)
 73.46 V        2.000 KN78MK     Hromads'ke Radio,Dnipro/DFKRRT, vul. Televizijna, 3 (DP) 
 73.55 H        0.750 KN39GD     Radio Mariya v Ukraini,Horodok/KHFKRRT, vul. Radyans'ka, 1a (KM) 
