 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 97.60 V 22EE   1.000 KO18RV     Sky Plus,Rohuküla (LAE) 
 97.70 V C719   1.500 KO39NI     Jumor FM,Kohtla-Nõmme/Kohtla-Nõmme raadio- ja telemast, Karikakra tn. 28 (IDA) 
       V C719   0.700 KO39PJ     Jumor FM,Kohtla-Järve/Järve/Telia mast, Olevi tn. 1 (IDA) 
       V 2035   0.400 KO38II     Äripäeva Raadio,Tartu/Tartu RTJ, Soinaste tn. 8A (TAR) 
 97.80 M 23EB   2.000 KO29KL     Retro FM,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
 97.90 V 23EB   1.000 KO28TI     Retro FM,Viiratsi/Telia mast (VIL) 
 98.00 V 23EB   0.500 KO29FB     Retro FM,Varbola/Kükita/Telia mast (RAP) 
 98.10 V 23EB   0.500 KO29TA     Retro FM,Särevere/Telia mast (JAE) 
       V        0.025 KO18BB     Raadio 2,Lõupõllu/Sõrve RJ (SAA) 
 98.20 V 2376   0.500 KO39QI     Semeinoje Radio,Kohtla-Järve/Ahtme/Tele2 mast (IDA) 
 98.30 V 23EB   1.200 KO28EJ     Retro FM,Malda/Audru Telia mast (PAE) 
 98.40 V 24EF   3.000 KO29KL     Sky Radio,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
 98.60 V 23EB   2.500 KO38JJ     Retro FM,Rõõmu (TAR) 
       V 2404   1.000            Raadio Kadi,Levalõpme/Kaldamasti/Liiva Elisa mast (SAA) 
 98.70 V 23EB   0.500 KO39DK     Retro FM,Võle/Jaani/Võle Telia mast (L-V) 
 99.00 H 2322   3.000 KO28HJ     Raadio Elmar,Pärnu/Tammiste/Pärnu RTJ, Tammiste tee 12 (PAE) 
 99.10 V 22E2   1.000 KO18HU     Raadio 2,Männamaa (HII) 
       M 22EE   0.205 KO38GB     Sky Plus,Kolga/Tomi/Otepää Telia mast (VAL) 
 99.20 V 24ED   0.600 KO39DF     Russkoe Radio,Assamalla/Telia mast (L-V) 
 99.30 V 2FFF   0.250 KO29IJ     Nõmme Raadio,Tallinn/Nõmme, Jaama 1a (HAR) 
 99.40 V 2301   2.000 KO38II     Star FM,Tartu/Tartu RTJ, Soinaste tn. 8A (TAR) 
 99.50 V 22E2   0.300 KO29JA     Raadio 2,Tamme/Telia mast (RAP) 
 99.60 V 2323   3.200 KO39IJ     Raadio Kuku,Tüükri (L-V) 
       V 2323   1.000 KO39DG     Raadio Kuku,Karitsa/Pauli (L-V) 
       V 22EE   0.400 KO18OO     Sky Plus,Liiva/Telia mast (SAA) 
 99.70 V 22EE   1.000 KO28TI     Sky Plus,Viiratsi/Telia mast (VIL) 
 99.80 V 2321   1.000 KO18SW     MyHits,Uuemõisa/Haapsalu RTJ, Masti tn. 4 (LAE) 
 99.90 V 22E4   3.000 KO37MS     Raadio 4,Mõksi/Hannuste/Mõksi sidemast (VOE) 
100.00 V 2478   1.000 KO49CJ     Narodnoe Radio,Narva/Narva Telemast, Hariduse tn. 18 (IDA) 
       V 2478   0.800 KO29KL     Narodnoe Radio,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
100.20 V 2323   2.000 KO38II     Raadio Kuku,Tartu/Tartu RTJ, Soinaste tn. 8A (TAR) 
100.30 V 2301   1.500 KO28HJ     Star FM,Pärnu/Tammiste/Pärnu RTJ, Tammiste tee 12 (PAE) 
100.40 V 2323   1.000 KO18HU     Raadio Kuku,Männamaa (HII) 
       V 2323   0.750 KO39PJ     Raadio Kuku,Kohtla-Järve/Järve/Telia mast, Olevi tn. 1 (IDA) 
100.50 V 2323   2.000 KO38AX     Raadio Kuku,Kapu/Koeru raadio- ja telemast (JAE) 
