 99.40 V 7201   7.100 JM56JT     RTT Radio Jeunes,Kef-Errand (NAB) 
 99.50 H 7202  60.250 JM54IW     RTT R.Tunis Chaine Int.,Sfax/El-Ghraba (SFA) 
       H 7207   0.400 JM45GU     RTT Radio Nationale,Sidi Salem (ELK) 
 99.60 V        5.000 JM56EQ     ,Ben Arous/Djebel Bou-Kornine (TUN) (p)
       V        1.000 JM52FW     ,Tataounie/Brourmet (TAT) (p)
       V 7208   0.300 JM47OB     RTT Radio Kef,Sejenane (BIZ) 
 99.70 H        0.100 JM56EU     Radio Zitouna FM,Sidi Bou Saïd (TUN) 
         7229         JM46PJ     Radio iFM,Siliana (SIL) 
 99.80 V 7211   1.000 JM53AT     Radio Zitouna FM,Gabès/El M Dou (GAB) 
       H 7233   0.100 JM55IM     Radio M'saken - RM FM,Zeramdine (MON) 
 99.90 H 7212  80.000 JM52FC     RTT Radio Culture,Remada (TAT) 
                      JM43BW     Djerid FM,Tozeur (TOZ) 
100.00 H 7224   8.000 JM56BJ     Radio Med,Zaghouan (ZAG) 
       V 7277   1.000            Al Karma FM,Lassouda 
       H        0.100 JM45SA     KaramaFM,Sidi Bouzid (SID) 
100.10 H 7208   0.200 JM46JG     RTT Radio Kef,Nebeur (ELK) 
100.20 H 7211   2.818 JM53EB     Radio Zitouna FM,Ghomrassen (TAT) 
       V 7241   1.000 JM45KE     Cillium FM,Kasserine 
       H 7204   1.000 JM55LK     RTT Radio Sfax,Ksour-Essaf (MAH) 
         7214         JM47XC     Express FM,Bizerte/Djebel Kochabta [Kchabta] (BIZ) 
100.30                JM56CT     Horria FM,Tunis (TUN) (i)
100.40 H 7211   5.000 JM46IS     Radio Zitouna FM,Aïn Draham/Djebel Al-Bi'r (JEN) 
       H 7207   0.200 JM46KH     RTT Radio Nationale,Djebel ez Zatria (ELK) 
100.50 H 7207  44.700 JM54IW     RTT Radio Nationale,Sfax/El-Ghraba (SFA) 
100.60 V 7229   5.000 JM56EQ     Radio iFM,Ben Arous/Djebel Bou-Kornine (TUN) 
100.70 H 7211  63.000 JM53MM     Radio Zitouna FM,Zarzis (MED) 
100.80 H 7204   5.000 JM45TN     RTT Radio Sfax,Kairouan/Djebel Trozza (KAI) 
100.90 V 7211   7.100 JM56JT     Radio Zitouna FM,Kef-Errand (NAB) 
       H 7235   1.000 JM43LQ     Radio Nefzawa,Kebili/studios 
