 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.01                KP11QU     OH1SIX,Ikaalinen KP11QU (PI) (i)
       H 6201   3.000 KP22BK     YLE Radio Yksi,Ähtäri - Etseri/Isomäki-Pihlajavedentie (EP) 
 92.00 H 6207  30.000 KP01UG     YLE Puhe,Eurajoki - Euraåminne/Korvenkulma-Porintie 899 (ST) 
       V 628C   1.000 KP25ET     Helmiradio,Tornio - Torneå/Kyläjoki-Rakanmäki (LA) 
       V 62B1   1.000 KP32TV     Kasari,Kuopio/Puijo-Puijontie, näkötorni (PS) 
       V 6765   0.050 KP53AH     Radio Rex,Lieksa (PK) 
       H F201   0.006 KP39DT     ,Utsjoki/Nuvvus-Nuvvos, Ailigas (LA) (c)
       V 6485   0.001 KP24QD     Sauna Radio,Haapavesi (PP) (t)
 92.10 H 6202  30.000 KP31RO     YleX,Mikkeli - Sankt Michel/Majavesi-Puntalantie 41 (ES) 
 92.20 M 6201  50.000 KP27CN     YLE Radio Yksi,Kolari/Ylläs-Tunturintie 84 (LA) 
       V 6207   3.000 KP23FE     YLE Puhe,Perho/Limakonkallio (KP) 
       V 63A7   0.400 KP10EL     RÄP,Turku - Åbo/Metsämäki-Pitkäsaarenmäki (VS) 
       V 62A1   0.200 KP11UM     Radio Classic,Tampere - Tammerfors/Näsinneula (PI) 
       V 608F   0.015 KP20LE     Temporary stns,Helsinki - Helsingfors/Pasila - Länsi-Radiokatu 5, (UU) (t)
 92.30 H 6201  60.000 KP44DD     YLE Radio Yksi,Vuokatti/Sotkamo-Vuokatinvaara, Maantie 8741 (KA) 
       H 6202   3.000 KP20WN     YleX,Pernaja - Pernå/Loviisa-Malmgård, Myrskyläntie 394 (UU) 
       V 628C   1.000 KP12DP     Helmiradio,Kurikka/Lehtivuori (EP) 
       V 6288   1.000 KP20FW     Radio Rock,Hämeenlinna-Tavastehus/Hattelmala-Hakapellontie 91 (KH) 
       H        0.500 KP41PX     Jouluradio,Kerimäki/Yläkuona-Yläkuonantie (ES) (t)
       V        0.500 KO19RX     ,Raasepori (UU) (c)
       V 6239   0.100 KP41PX     Kesäseuraradio,Kerimäki/Yläkuona-Yläkuonantie (ES) (t)
 92.40 V 63AE   1.000 KP11EU     Radio 957,Kankaanpää/keskusta (ST) 
