 93.00 M E7E0   5.000 IL18BP     Canarias Radio,El Paso/Reventon (STC-LP) 
                5.000 IL27FS     El Espejo Radio,San Bartolome/San Agustin-Morro Besudo (LPM-GC) 
       M E0EC   4.000 IL38BN     Radio Ecca,Puerto del Rosario/Temejereque (LPM-FU) 
         E001         IL18UK     Onda Colectiva Canaria Radio,Santa Cruz de Tenerife/M. Ofra (STC-TF) 
         E0B7         IL18RC     Onda Nueva Tenerife,Granadilla de Abona (STC-TF) 
         5833         IL18PB     Puro Sabor FM,Los Cristianos/Montana de Guaza (STC-TF) 
                      IL18TM     Radio Majuelos,Tegueste (STC-TF) 
 93.10                IL18TL     Buena Onda,Tacoronte (STC-TF) 
         E00B         IL18CQ     Canal 11 Radio,Santa Cruz de la Palma/Reventon (STC-LP) 
         noPI         IL28HE     Radio Solidaria,Las Palmas/La Isleta (LPM-GC) 
 93.20 M E735   8.000 IL18UK     Los 40,Santa Cruz de Tenerife/M. Ofra (STC-TF) 
         6969   2.000 IL18SK     Radio Atlantida,Santa Ursula (STC-TF) 
       M E7E0         IL18JE     Canarias Radio,Hermigua/Santa Catalina (STC-LG) 
 93.30   E000   1.000 IL28TB     7.7 Radio,Pajara/Morro Jable (LPM-FU) 
                0.500 IL38CW     7.7 Radio,Yaiza/Femes-Atalaya de Feme (LPM-LA) 
         E735   0.100 IL18PC     Los 40,Arona/El Refugio (STC-TF) 
                0.100 IL27HX     Radio Los Picos,Telde (LPM-GC) 
         E0EA         IL27FW     Mas Musica FM,Santa Lucia/Vecindario (LPM-GC) 
                      IL39FA     Monster Radio,Arrecife/Mina (LPM-LA) 
                      IL18QJ     Teide FM,Los Realejos/La Corona (STC-TF) 
 93.40 M        2.000 IL18CT     ,San Andres y Sauces (STC-LP) (p)
                      IL28HE     Rumberisima FM,Las Palmas/La Isleta (LPM-GC) 
 93.50          0.100 IL18CO     ,Villa de Mazo (STC-LP) (p)
                      IL18CQ     Cadena 100,Santa Cruz de la Palma/Concepción (STC-LP) 
         8750         IL18TH     Flow Radio,Valle de Güimar (STC-TF) 
         F0FF         IL18SJ     Radio Antena de Canarias,Puerto de la Cruz (STC-TF) 
                      IL27ES     Radio Bambustrommel,San Bartolome/Playa del Ingles (LPM-GC) 
 93.60 M E3C6   2.000 IL28ED     9 Radio ,Galdar (LPM-GC) 
         E33A         IL39FA     La Clave Stereo,Arrecife/Mina (LPM-LA) 
         E05D         IL18RC     Onda Tenerife,Granadilla de Abona (STC-TF) 
 93.70   E4F0   2.000 IL18RJ     COPE,La Orotava (STC-TF) 
                0.900 IL27GV     Holland FM,new 
       V E04C   0.500 IL18KB     7.7 Radio,San Sebastian de La Gomera (STC-LG) 
         E307         IL28XJ     Hola FM,Betancuria / Morro Janana (LPM-FU) 
         9873         IL27DS     Holland FM,Mogan/Puerto Rico (LPM-GC) 
                      IL18UK     Inter Radio Tenerife,Santa Cruz de Tenerife/M. Ofra (STC-TF) 
         CDDB         IL18PE     PowerON FM,Guia de Isora (STC-TF) 
                      IL18JA     Rumberos FM,Alajeró/Playa de Santiago (STC-LG) 
 93.80 M        2.000 IL27ES     Bayern 3,San Bartolome/Playa del Ingles (LPM-GC) 
       V        1.000 IL38AO     ,La Oliva (LPM-FU) (p)
                      IL28HE     El Espejo Radio,Las Palmas/La Isleta (LPM-GC) 
                      IL18SE     Radio Decibelios FM (Hilo Musical),Arico/Arico Viejo (STC-TF) 
 93.90 M E212   2.000 IL07XR     RNE Radio Clasica,Frontera/Malpaso (STC-HI) 
                      IL28WE     Canarias Radio,Pajara/La Lajita (LPM-FU) 
         noPI         IL39FA     Radio Maria,Arrecife/Mina (LPM-LA) 
 94.00 M E2EE   6.000 IL18TK     Onda Cero,Santa Cruz de Tenerife / M. Talavera (STC-TF) 
         1492   1.200 IL18PC     esRadio,Adeje/Montana La Concepción (STC-TF) 
         8888   0.500 IL18QC     Capital Radio,San Miguel de Abona (STC-TF) 
       M 37FF         IL18NH     Loca Latino,Buenavista del Norte (STC-TF) 
 94.10   E00A         IL27GT     Global FM,San Bartolome / Juan Grande -El Salobre (LPM-GC) 
                      IL28HE     Radio Juventud,Las Palmas/La Isleta (LPM-GC) 
 94.20 M        2.000 IL39EB     ,Tinajo (LPM-LA) (p)
       M        1.000 IL18BP     Radio Valle,El Paso/Reventon (STC-LP) 
                      IL38AO     Dunas FM,La Oliva (LPM-FU) 
       M E396         IL28FA     Radio Tinamar,Vega de San Mateo/Montana Cabreja (LPM-GC) 
                      IL18QJ     Teide FM,Los Realejos/La Corona (STC-TF) 
 94.30 M 0000  10.000 IL18JE     RNE Radio Nacional,Vallehermoso (STC-LG) 
                      IL18UK     House Radio,Santa Cruz de Tenerife/M. Ofra (STC-TF) 
         E0DD         IL18QD     Q FM,Vilaflor (STC-TF) 
 94.40 M E435   8.000 IL28HE     Los 40,Las Palmas/La Isleta (LPM-GC) 
       M E226   1.200 IL18TL     Carrier,Tacoronte (STC-TF) 
                      IL38BR     Dunas FM,La Oliva/Corralejo (LPM-FU) 
 94.50 V        2.000 IL27FS     Radio Faycan,San Bartolome/Playa del Ingles-Hotel Corona Roja (LPM-GC) 
       M E5CD   2.000 IL18RJ     Radio Marca,La Orotava (STC-TF) 
                1.000 IL28FD     Kiss FM,Santa Maria de Guia (LPM-GC) 
         37FF         IL18PB     Loca Latino,Los Cristianos/Montana de Guaza (STC-TF) 
                      IL18RC     Sun FM Tenerife,Granadilla de Abona (STC-TF) 
                      IL18PB     Temperatura FM,Los Cristianos/Montana de Guaza (STC-TF) 
 94.60 M E211   7.000 IL38BN     RNE Radio Nacional,Puerto del Rosario/Temejereque (LPM-FU) 
       M        0.200 IL18BP     7.7 Radio,Los Llanos de Aridane (STC-LP) 
                      IL27FW     Bakanos FM,Santa Lucia/Vecindario (LPM-GC) 
         A000         IL18QJ     Konda Radio,San Juan de la Rambla (STC-TF) 
                      IL18UK     Libertad FM,Santa Cruz de Tenerife/M. Ofra (STC-TF) 
                      IL18TH     Radio Cadena Canarias,Valle de Güimar (STC-TF) 
         E1CC         IL18PI     Radio Maria,Icod de los Vinos (STC-TF) 
 94.70                IL18QB     Horizonte FM,San Miguel/Montana Gorda (STC-TF) 
                      IL18KB     Radio Cantera,San Sebastian de La Gomera (STC-LG) 
                      IL28HE     Radio Univerdance,Las Palmas/La Isleta (LPM-GC) 
 94.80 H E211  10.000 IL18TK     RNE Radio Nacional,El Rosario/La Montaneta (STC-TF) 
       M 1492   0.500 IL18QB     Canal 4 Tenerife,San Miguel/Montana Gorda (STC-TF) 
                0.500 IL18OH     Loca FM,Santiago del Teide (STC-TF) 
                      IL27FT     Radio Sol,San Bartolome / Bahia Feliz-Tabaibas (LPM-GC) 
 94.90 H E212   4.000 IL39FA     RNE Radio Clasica,Arrecife/Mina (LPM-LA) 
         E2EC   0.100 IL07XR     Kiss FM,Frontera/Malpaso (STC-HI) 
 95.00                IL28CA     El Roque FM,La Aldea de San Nicolas (LPM-GC) 
         noPI         IL18UK     Éxito Radio,Santa Cruz de Tenerife/M. Ofra (STC-TF) 
         5040         IL18RC     Swing Latinos FM,Granadilla de Abona (STC-TF) 
         E077         IL18RJ     Tenerife Norte Radio,La Orotava (STC-TF) 
 95.10 M E212  50.000 IL28HE     RNE Radio Clasica,Las Palmas/La Isleta (LPM-GC) 
       M E0FA   2.000 IL18CQ     COPE,Santa Cruz de la Palma/Concepción (STC-LP) 
       V E007   2.000 IL28WE     Hola FM,Pajara/La Lajita (LPM-FU) 
         noPI         IL18PB     Horizonte FM,Arona/Playa de las Americas (STC-TF) 
                      IL18QC     Magica FM,San Miguel de Abona (STC-TF) 
 95.20   EEFF   0.050 IL28EA     Radio Faycan,Artenara (LPM-GC) 
         8888         IL18UL     Capital Radio,La Laguna / San Roque (STC-TF) 
         E2DA         IL18PC     Melodia FM,Adeje/Montana La Concepción (STC-TF) 
 95.30 M E3D9   5.000 IL27FS     Radio Maspalomas,San Bartolome/Playa del Aguila (LPM-GC) 
       M E0A2   2.000 IL18UK     Radio Unión Tenerife,Santa Cruz de Tenerife/M. Ofra (STC-TF) 
       H FADE   0.500 IL38CW     Onda Cero,Yaiza/Femes-Atalaya de Feme (LPM-LA) 
         E2EC   0.200 IL18BP     Kiss FM,Los Llanos de Aridane (STC-LP) 
                      IL18TH     Radio Valle de Güimar,Valle de Güimar (STC-TF) 
 95.40 H E213   5.000 IL18PB     RNE Radio 3,Los Cristianos/Montana de Guaza (STC-TF) 
         noPI   0.250 IL38AK     Fuerteventura FM,Antigua (LPM-FU) 
                0.100 IL18OI     Rock FM,El Tanque (STC-TF) 
         E2CF         IL18RJ     Rock FM,La Orotava (STC-TF) 
 95.50 M 9753   0.500 IL28GC     Radio Tamaraceite Onda Parroquial,Las Palmas/Tamaraceite (LPM-GC) 
       M        0.500 IL18SJ     ,Puerto de la Cruz (STC-TF) (p)
       M        0.100 IL28TB     Hola FM,Pajara/Morro Jable (LPM-FU) 
 95.60 V        0.930 IL18TH     7.7 Radio,Güimar (STC-TF) 
       V E23C   0.200 IL18JE     Kiss FM,Hermigua/Santa Catalina (STC-LG) 
                      IL18CQ     Cadena 100,Santa Cruz de la Palma/Concepción (STC-LP) 
         E04B         IL18SJ     Gente Radio,Puerto de la Cruz (STC-TF) 
         F001         IL18RC     Marcha FM,Granadilla de Abona (STC-TF) 
         E2EE         IL27FT     Onda Cero,San Bartolome / Bahia Feliz-Tabaibas (LPM-GC) 
 95.70   E0C9   2.000 IL38BN     Radio Sintonia,Puerto del Rosario/Temejereque (LPM-FU) 
                0.100 IL07XR     ,Frontera/Malpaso (STC-HI) (p)
 95.80   11D3   6.500 IL28HE     Inolvidable FM,Las Palmas/La Isleta (LPM-GC) 
                2.000 IL18QJ     Canal 4 Tenerife,Los Realejos/La Corona (STC-TF) 
         345A         IL18UK     Hispahits Radio,Santa Cruz de Tenerife/M. Ofra (STC-TF) 
                      IL18UL     La Fresca FM,La Laguna (STC-TF) 
                      IL38CV     Radio Europa Lanzarote,Lanzarote Sur (LPM-LA) 
