101.30          0.500 JN93QI     Radio Pljevlja,Pljevlja/Tvrdas (PV) 
         D451         JN92MD     Radio D Plus,Bar/Velji Grad (BR) 
       V 620D         JN92SU     Radio S1-CG,Kolasin/Bablja greda (KL) 
101.40 V        1.250 KN02CV     Radio Rozaje,Rozaje/Gospodin vrh (RO) 
       M D27D   0.300 JN92HJ     Srpski Radio,Tivat/Lustica (TV) 
101.50 V 61D4   0.300 JN92PL     Drugacija Radio Stanica (D.R.S.),Podgorica/Sjenica (PG) 
         61D4         JN92NN     Drugacija Radio Stanica (D.R.S.),Danilovgrad/Hotel Zeta (DG) (i)
101.70 V D37B   0.300 JN92JG     Radio Jadran,Budva/Spas (BD) 
101.80 V 63C1   1.500 JN92SW     Radio Crne Gore 1,Mojkovac/Katunicko Brdo (MK) 
101.90 V D1AE   0.300 JN92NJ     Radio 083,Podgorica/Velja Gora (PG) 
102.00 V D045   0.300 JN92JK     Radio Skala,Kotor/Vrmac (KO) 
102.10 H 30FE   0.300 JN92MD     Antena M,Bar/Velji Grad (BR) 
                      JN92WS     ,Andrijevica/Balj (AN) (c)
102.20 M        0.300 JN92LI     ,Cetinje/Crna Greda (CT) (c)
102.30 V D2DE   1.000 JN93QI     Play Radio ,Pljevlja/Tvrdas (PV) 
102.50 H 30FE   0.300 JN92MT     Antena M,Niksic/Tovic-Sudina Glava (NK) 
       H        0.300 KN02AU     Jupok Radio,Rozaje/Kacuber (RO) 
         D2DE         JN92PL     Play Radio ,Podgorica/Sjenica (PG) 
102.60 H        1.000 JN91PX     Radio Ulcinj,Ulcinj/Mozura (UL) 
102.70 H noPI   0.300 JN92HJ     Radio Herceg Novi,Tivat/Lustica (TV) 
102.80 V 620D   1.200 JN92GV     Radio S1-CG,Niksic/Bratogost (NK) 
       V        0.300 KN02CU     ,Rozaje/Bandzovo brdo (RO) (i)
102.90          0.300 JN92XO     Radio Glas Plava,Plav (PL) 
103.00 H D2DE   1.000 JN92SU     Play Radio ,Kolasin/Bablja greda (KL) 
       V D450   1.000 JN92JG     Radio D,Budva/Spas (BD) 
       V        0.300 JN93VA     Radio Plus,Bijelo Polje/Obrov (BP) 
                      JN92PL     ,Podgorica/Sjenica (PG) (i)
103.20   D37B         JN92GK     Radio Jadran,Herceg Novi/Zvinje (HN) 
103.40 V D2DE   1.000 JN92SW     Play Radio ,Mojkovac/Katunicko Brdo (MK) 
103.60 V        0.300 JN92MT     Radio Homer,Niksic/Tovic-Sudina Glava (NK) 
103.80 V        2.500 JN93WA     Radio Crne Gore 2 - Radio 98,Bijelo Polje/Kurilo BP (BP) 
       H D451   0.300 JN92JG     Radio D Plus,Budva/Spas (BD) 
104.00 V D450   0.300 JN92MN     Radio D,Danilovgrad/Kurilo (DG) (i)
       H        0.300 JN92VN     ,Plav/Gusinje (PL) (i)
       M D450   0.100 JN92LJ     Radio D,Cetinje (CT) 
         3417         JN91PX     Radio Fatih,Ulcinj/Mozura (UL) 
                      JN92MQ     ,Niksic/Ostrog (NK) (c)
104.30   2000         JN92JG     Radio Adriatic,Budva/Spas (BD) 
104.40          1.000 JN92NC     Srpski Radio,Bar/Volujica (BR) 
       V 620D   0.800 JN92MT     Radio S1-CG,Niksic/Tovic-Sudina Glava (NK) 
       V        0.250 KN02CU     Radio Rozaje,Rozaje/Bandzovo brdo (RO) 
104.50 V 30FE   0.300 JN93QI     Antena M,Pljevlja/Tvrdas (PV) 
104.60 M D2DE   1.000 JN92HJ     Play Radio ,Tivat/Lustica (TV) 
       H        0.300 JN92SU     ,Kolasin/Bablja greda (KL) (i)
                      JN92WU     ,Berane/Jejevica (BA) (i)
104.70          0.300 JN92PL     Radio Svetigora,Podgorica/Sjenica (PG) 
       M        0.300 JN92NC     ,Bar/Volujica (BR) (c)
104.80 H 61D4   0.300 JN93WA     Drugacija Radio Stanica (D.R.S.),Bijelo Polje/Kurilo BP (BP) 
105.00 V D2DE   0.300 KN02AU     Play Radio ,Rozaje/Kacuber (RO) 
       M D222   0.300 JN92JK     Radio Svetigora,Kotor/Vrmac (KO) 
       V        0.300 JN92MN     ,Danilovgrad/Kurilo (DG) (i)
105.10 M 3033   1.000 JN92LJ     TDI Radio,Cetinje (CT) 
105.30 M D264   0.300 JN92JG     Elmag Radio,Budva/Spas (BD) 
       V        0.300 JN92SW     ,Mojkovac/Katunicko Brdo (MK) (c)
       H        0.250 JN92NW     ,Savnik/Pjesivac Kosice (SN) (i)
                      JN92SW     Radio Svetigora,Mojkovac/Katunicko Brdo (MK) 
                      JN92PK     ,Podgorica/Vrela Ribnicka (PG) (c)
105.40 H        0.300 JN92WU     Radio Berane,Berane/Jejevica (BA) 
105.50 M        0.300 JN93QI     ,Pljevlja/Tvrdas (PV) (i)
105.60 H 5320   1.000 JN91PX     Radio Bar,Ulcinj/Mozura (UL) 
       V        0.300 JN92XO     ,Plav (PL) (i)
105.70 V D264   0.300 JN92PL     TDI Radio,Podgorica/Sjenica (PG) 
105.80 H D054   0.300 JN93VA     Radio Bijelo Polje,Bijelo Polje/Obrov (BP) 
       M D451   0.300 JN92HJ     Radio D Plus,Tivat/Lustica (TV) 
       V        0.300 JN92SU     ,Kolasin/Bablja greda (KL) (c)
                      JN92SU     Radio Svetigora,Kolasin/Bablja greda (KL) 
106.00 H 20FE   1.170 JN92MD     Radio Budva,Bar/Velji Grad (BR) 
         3417         JN92XV     Radio Fatih,Petnjica 
106.20 M        0.300 JN92NJ     ,Podgorica/Velja Gora (PG) (c)
106.30 H D451   0.500 JN92JK     Radio D Plus,Kotor/Vrmac (KO) 
       V 12EB   0.300 JN92MT     Mag Radio,Niksic/Tovic-Sudina Glava (NK) 
106.40                JN91PX     Radio Svetigora,Ulcinj/Mozura (UL) 
106.50                JN93KE     ,Pluzine/Unac (PE) (i)
106.70 V 5320   0.500 JN92MG     Radio Bar,Bar/Bjelasica-Virpazar (BR) 
       V 30FE   0.300 JN92GK     Antena M,Herceg Novi/Zvinje (HN) 
       V        0.300 JN92WU     ,Berane/Jejevica (BA) (i)
                      JN92WU     Radio Svetigora,Berane/Jejevica (BA) 
                      JN93QI     Radio Svetigora,Pljevlja/Tvrdas (PV) 
                      JN92WU     ,Berane/Jejevica (BA) (c)
                      JN92PK     ,Podgorica/Vrela Ribnicka (PG) (c)
106.80 M D28B   0.300 JN92JG     Radio S2-CG,Budva/Spas (BD) 
106.90   6200   0.300 JN92MT     Elmag Radio,Niksic/Tovic-Sudina Glava (NK) 
107.20 H        0.300 JN93WA     Elmag Radio,Bijelo Polje/Kurilo BP (BP) 
107.30 M D2DE   0.300 JN92NC     Play Radio ,Bar/Volujica (BR) 
       M        0.300 JN92HJ     Radio Homer,Tivat/Lustica (TV) 
       M        0.300 JN92PK     Radio S2-CG,Podgorica (PG) 
107.40 H        1.250 KN02AU     Radio Rozaje,Rozaje/Kacuber (RO) 
107.50 V D451   0.300 JN93QI     Radio D Plus,Pljevlja/Tvrdas (PV) 
       V D1AE   0.010 JN92LS     Radio 083,Niksic/Objekat studija (NK) 
107.70 V D450   0.300 JN92MD     Radio D,Bar/Velji Grad (BR) 
107.80 V        1.500 JN92SW     Radio Crne Gore 2 - Radio 98,Mojkovac/Katunicko Brdo (MK) 
       V        1.000 JN92XN     ,Plav/Kofiljaca (PL) (i)
107.90 M        0.300 JN92PL     Radio Skadarsko jezero,Podgorica/Sjenica (PG) 
       H        0.300 JN92JK     ,Kotor/Vrmac (KO) (i)
