                      LM22FL     Radio act,Hillah (BBL) 
                      LM13PK     Radio Sawa,Ramadi (ANB) 
                      LM26AE     Zagros Radio,Arbil=Erbil=Hewlêr (ARB) 
100.60          1.000 LM15VF     Zagros Radio,Tuz Khurma (KRK) 
100.70                LM23EH     Idhaat Alray - Baghdad,Baghdad  (BGH) 
101.00                LM21DX     Najaf Radio,Najaf (NAJ) 
101.10                LM22LA     Radio Ministry of the Interior,Ad Diwaniyah (QAD) 
       M              LM14SQ     ,Al-Sahra/COB Speicher (SAD) (c)
101.30                LM22VN     Radio Al-Kafeel,Al-Kut (ITU: Kut) (WAS) 
       H              LM26AE     Radio of the Republic of Iraq,Arbil=Erbil=Hewlêr (ARB) 
101.40                LM31DA     Al-Merbad Radio,An Nasiriyah (DQR) 
101.70 V        5.000 LM25RN     Xendan Radio,Sulaimaniyah (SUL) 
                      LM21DX     Radio Alforat - Baghdad,Najaf (NAJ) 
101.90                LM30WM     Radio Al-Kafeel,Al Basrah (BSR) 
                      LM22FL     Radio Al-Kafeel,Hillah (BBL) 
102.00                LM25RN     Nalia FM,Sulaimaniyah (SUL) 
102.10 H       10.000 LM16NH     Radio of the Republic of Iraq,Mosul=Mûsil (NNW) 
                      LM22FL     Voice of Alahad,Hillah (BBL) 
                      LM23EH     Voice of Alahad,Baghdad  (BGH) 
                      LM30UI     ,Al-Zubair (BSR) (c)
                      LM30WA     ,Umm Qasr (BSR) (c)
                      LM30VM     ,Shaibah/COB (BSR) (c)
102.20 H        0.300 LM22LA     Idhaat Sada - Diwaniyah,Ad Diwaniyah (QAD) 
102.30                LM30WM     Voice Of Iraq 102.3,Al Basrah (BSR) 
102.50                LM30WM     Basra Times Square Radio,Al Basrah (BSR) 
102.70 V        1.000 LM26AE     Rudaw Radio,Arbil=Erbil=Hewlêr (ARB) 
102.90                LM30WM     New Testament Baptist Radio,Al Basrah (BSR) 
103.00 V              LM26AE     Monte Carlo Doualiya,Arbil=Erbil=Hewlêr (ARB) 
                      LM23EH     New Testament Baptist Radio,Baghdad  (BGH) 
103.10                LM22LA     Radio Nippur - Diwaniyah,Ad Diwaniyah (QAD) 
103.20          1.000 LM26AE     Radio Sawa,Arbil=Erbil=Hewlêr (ARB) 
103.30 H       10.000 LM16NH     Radio Mosul,Mosul=Mûsil (NNW) 
                      LM23EH     Radio Iraqia,Baghdad  (BGH) 
                      LM25RN     Runaki Radio,Sulaimaniyah (SUL) 
103.50                LM22FL     Radio Al-Fayhaa,Hillah (BBL) 
103.60                LM26AE     Radio Helin,Arbil=Erbil=Hewlêr (ARB) 
                      LM21DX     Radio Sawa,Najaf (NAJ) 
103.70                           Imam Hussain FM,Dhi Qar (DQR) 
103.80                LM23EH     Radio al Musawat - Baghdad,Baghdad  (BGH) 
103.90                LM30WM     Imam Hussain FM,Al Basrah (BSR) 
                      LM21DX     Radio Al-Kafeel,Najaf (NAJ) 
                      LM30WM     Radio Shatt al-Arab,Al Basrah (BSR) 
104.10 H              LM23EH     Radio Dimouzi - Baghdad,Baghdad  (BGH) 
104.20                LM25DL     Kirkuk FM,Kirkuk (KRK) 
104.30                LM30VM     ,Shaibah/COB (BSR) (c)
104.40                LM23EH     Sowt Alasema - Baghdad,Baghdad  (BGH) 
104.50          1.000 LM26AE     ,Arbil=Erbil=Hewlêr (ARB) (c)
                      LM22FL     Almada Radio,Hillah (BBL) 
                      LM13PK     Almada Radio,Ramadi (ANB) 
       H              LM23HT     ,Baqubah (DIY) (c)
104.60 H        5.000 LM16NH     ,Mosul=Mûsil (NNW) (c)
104.70                LM22FL     Alkawthar FM,Hillah (BBL) 
104.90                LM31DA     Al-Ahad Radio,An Nasiriyah (DQR) 
                      LM23EH     Alkawthar FM,Baghdad  (BGH) 
                      LM26AE     Radio Mariam,Arbil=Erbil=Hewlêr (ARB) 
                      LM25RN     Radio Mihrab Fm,Sulaimaniyah (SUL) 
105.00         10.000 LM30WM     Voice of America,Al Basrah (BSR) 
                      LM22FL     Al-Ahad Radio,Hillah (BBL) 
105.10          1.000 LM16NH     AFN Iraq,Mosul=Mûsil (NNW) 
                      LM23EH     AlEbaa Radio,Baghdad  (BGH) 
105.50   FFE5         LM26AE     M Radio,Arbil=Erbil=Hewlêr (ARB) 
                      LM16QG     Sawt al-Salam - Bakhdida,Bakhdida (NNW) 
105.70                LM23EH     Radio Collegey of Information - Baghdad,Baghdad  (BGH) 
                                 Um Almasajid FM,Falludscha 
                      LM25PN     XFM,Sulaimaniyah (SUL) 
105.80 H        0.300 LM22LA     Sumer FM,Ad Diwaniyah (QAD) 
                      LM25PN     Radio Sawa,Sulaimaniyah (SUL) 
106.00                LM23EH     Radio al Watan - Baghdad,Baghdad  (BGH) 
                      LM25EL     unid,Kirkuk (KRK) 
                                 ,unknown (c)
106.30                LM21DX     Imam Hussain FM,Najaf (NAJ) 
                      LM14TN     Monte Carlo Doualiya,Tikrit (ITU: Tekret) (SAD) 
                      LM23EH     Radio al Etejah - Baghdad,Baghdad  (BGH) 
                                 Radio Al-Kafeel,Saladin 
                      LM16NH     ,Mosul=Mûsil (NNW) (c)
                      LM30WA     ,Umm Qasr (BSR) (c)
106.50                LM22LA     Idhaat Zahrat Alfurat - Diwaniyah,Ad Diwaniyah (QAD) 
                      LM30VM     ,Shaibah/COB (BSR) (c)
106.60         10.000 LM16NH     Radio Sawa,Mosul=Mûsil (NNW) 
106.80                LM23EH     Sound of Joy - Baghdad,Baghdad  (BGH) 
107.00         10.000 LM30WM     Radio Sawa,Al Basrah (BSR) 
107.10                LM23EH     Radio Alforat - Baghdad,Baghdad  (BGH) 
107.30 H        0.500 LM24BA     ,Balad/LSA Anaconda (SAD) (c)
       H        0.250 LM23PR     ,Kirkush (DIY) (c)
       H        0.200 LM25EL     ,Kirkuk (KRK) (c)
       H        0.200 LM30BW     ,Tallil/Air Base (DQR) (c)
                      LM22FL     Al Madhatiyah Radio,Hillah (BBL) 
                                 BII Radio 
107.50                LM22FL     Imam Hussain FM,Hillah (BBL) 
                      LM23EH     Radio Alkhaldoon - Baghdad,Baghdad  (BGH) 
107.70                LM23EH     Radio Afaq,Baghdad  (BGH) 
107.80 H              LM25PN     Radio of the Republic of Iraq,Sulaimaniyah (SUL) 
107.90 H        0.250 LM06WH     ,Sinjar=^engal (NNW) (c)
                      LM25DL     Radio Dijla,Kirkuk (KRK) 
                      LM25EL     unid,Kirkuk (KRK) 
       H              LM25VH     ,Darbandi (SUL) (p)
