 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.04                           LZ0SIX,Sofia KN12QP 
       V 8210   0.537 KN22WW     BNR Horizont,Elena/TVRS Elena - Golyamata chuka (VLT) 
         8210   0.250 KN12VG     BNR Horizont,Kostenets/RRS Kostenets-1 (SOF) 
         8220   0.250 KN22AA     BNR Hristo Botev,Velingrad/TVRS Straza (PZK) 
         838F   0.163 KN22QV     Bulgaria On Air,Gabrovo/RTPS Bumerang FM (GBV) 
 91.40 V 824D   3.000 KN33KG     Darik Radio,Shumen/RRS 1 [NURTS Shumen] (SHM) 
       V 8380   0.596 KN12NA     BG Radio,Blagoevgrad/NURTS Blagoevgrad (BLG) 
       V        0.100 KN22FC     Radio 1,Krichim/Novo selo (PLD) (p)
       V        0.100            ,Pechtera (PZK) (p)
       H 8383   0.080 KN21SW     Radio Veselina,Haskovo/Vodonaporna kula (HSK) 
 91.50   8384   0.100 KN22SU     Radio Fresh!,Tryavna/Hotelski kompleks Prestolat na Marija (GBV) 
 91.60 V 824D   3.000 KN23XT     Darik Radio,Ruse/RRTS Levent tabija (RUS) 
       V 807C   0.770 KN32OR     Folk Radio,Aytos/RRTS Hisarlaka (BUR) 
         837E   0.300 KN11UO     Radio N-Joy,Gotse Delcev/Vodoprecistvatelna stantsia [Deva broadcast] (BLG) 
       V 8386   0.300 KN13OJ     Z-Rock,Montana/RTTS Mont 7 (MNT) 
       V 8210   0.194 KN31BM     BNR Horizont,Ivaylovgrad/RRS Ivaylovgrad (HSK) 
 91.70 V 8238   2.200 KN32WC     BNR Burgas,Tsarevo/Papia [NURTS Ahtopol] (BUR) 
         838F   1.500 KN33WD     Bulgaria On Air,Varna/RPTS UKV Praktika (VRN) 
       V 8220   1.000 KN22IA     BNR Hristo Botev,Plovdiv/RRTS Zdravets (PLD) 
       H        0.250 KN32VF     ,Primorsko/RRTS Primorsko (BUR) (c)
 91.80   8210   1.995 KN12PB     BNR Horizont,Kurutman (BLG) 
       V 8381   0.299 KN23LA     Radio 1,Sevlievo/NURTS Sevlievo (GBV) 
         8220   0.100 KN22EP     BNR Hristo Botev,Koprivstitsa/RRS Koprivstitsa (SOF) 
       V 8383   0.100 KN13SE     Radio Veselina,Vratsa/Hiza Vestitel (VRT) 
 91.90 V 8238   1.995 KN32IK     BNR Burgas,Yambol/RRS Bakadzik [NURTS Yambol] (YAM) 
       H 8074   1.000 KN11OJ     Radio Vega+,Petrich/Mladezki dom (BLG) 
       V 8380   0.820 KN12QQ     BG Radio,Sofia/bul. Peyo K. Yavorov-TV kula [NURTS Yavorov] (SFG) 
       V 8051   0.300 KN33VN     Radio Dobrudzha,Dobrich/RRTS (DOB) 
         8384   0.224 KN33KG     Radio Fresh!,Shumen/RRS 1 [NURTS Shumen] (SHM) 
 92.00 V 804B   0.200 KN11UO     Radio V-99,Gotse Delcev (BLG) 
 92.20 V 8220 117.500 KN22KR     BNR Hristo Botev,Botev vrah/RRTS  (PLD) 
 92.30 V 8381   3.000 KN43EJ     Radio 1,Kavarna/RPS Kaliakra (DOB) 
         838F   0.500 KN34PC     Bulgaria On Air,Silistra/RRS Medzit tabija [NURTS Silistra] (SIL) 
         8383   0.500 KN11NR     Radio Veselina,Kresna (BLG) 
       V 8381   0.100 KN43EJ     Radio 1,Balchik/NURTS Kaliakra (DOB) 
 92.40   837D   0.400 KN12PP     Magic FM,Sofia/Hotel Kemlinski-Zografski (SFG) 
 92.50 V 8238   1.995 KN32TJ     BNR Burgas,Burgas/Medni rid (BUR) 
         838F   0.200 KN21NI     Bulgaria On Air,Zlatograd (SMO) 
       V 8380   0.150 KN23ID     BG Radio,Lovech/RRTS Stratesh (LOV) 
 92.60   8389   1.500 KN33WD     Radio Vitosha,Varna/RPTS UKV Praktika (VRN) 
       V 838E   1.047 KN11NW     Radio Ultra,Blagoevgrad/kray selo Tserovo-RTTS Vega (BLG) 
       V 8380   0.700 KN32IK     BG Radio,Yambol/RRS Bakadzik [NURTS Yambol] (YAM) 
         838B   0.300 KN13OJ     Radio Energy,Montana/RRS Montana (MNT) 
 92.70   8386   1.000 KN34PC     Z-Rock,Silistra/RRS Medzit tabija [NURTS Silistra] (SIL) 
       V 837E   0.630 KN22EC     Radio N-Joy,Pazardzik/RPTS VETS Aleko [Deva broadcast] (PZK) 
       V 8384   0.250 KN23OJ     Radio Fresh!,Levski/Shumata (PLV) 
 92.80 V        1.000 KN21RK     ,Momchilgrad/NURTS Stramni rid (KZL) (p)
       V 8210   0.250 KN33GE     BNR Horizont,Targoviste/h. Mladost-RTS Kodzakuz (TGV) 
 92.90 V 8065   1.600 KN32SN     Radio Mixx,Pomorie/mestnost Lahna (BUR) 
       V 8220   1.000 KN12PP     BNR Hristo Botev,Sofia/Kopitoto-KRTTS Vitosa (SFG) 
 93.00 V 8380   0.575 KN11UO     BG Radio,Gotse Delcev/Vodoprecistvatelna stantsia [Deva broadcast] (BLG) 
       V 8380   0.157 KN43GN     BG Radio,Shabla/NURTS Shabla (VRN) 
         837E   0.157 KN22AA     Radio N-Joy,Velingrad/TVRS Straza (PZK) 
         8061   0.100 KN32AL     Radio Nova (Nova Zagora),Nova Zagora/Dom na Kulturata (SLI) 
 93.10   8383   0.500 KN23XT     Radio Veselina,Ruse/RRTS Levent tabija (RUS) 
         8383   0.500 KN33GN     Radio Veselina,Razgrad/RRTS Razgrad [NURTS Razgrad] (RGD) 
       V 8380   0.100 KN12WV     BG Radio,Pravets/RRTS Pravets [Botevgrad / NURTS Pravec] (SOF) 
 93.20 H 824D   4.000 KN21RK     Darik Radio,Momchilgrad/NURTS Stramni rid (KZL) 
         837F   0.100 KN33QR     Radio Focus,Tervel/NURTS Tervel (RGD) 
 93.30 V 838B   1.737 KN11NV     Radio Energy,Simitli/Vega (BLG) 
       V 8380   0.471 KN23AA     BG Radio,Yablanica/NURTS Yablanitsa (LOV) 
         8398   0.250 KN32LP     The Voice,Karnobat/RRTS Markhova stapka (BUR) 
       V 8397   0.209 KN22WW     Avtoradio,Elena/RRS Elena - Gorni Chukani (VLT) 
 93.40   837F   3.000 KN32VF     Radio Focus,Primorsko/RRTS Primorsko (BUR) 
         8236   1.000 KN33KG     BNR Radio Shumen,Shumen/RRS 1 [NURTS Shumen] (SHM) 
       V 806B   1.000 KN12QQ     Radio Melody,Sofia/bul. Peyo K. Yavorov-TV kula [NURTS Yavorov] (SFG) 
       V 838A   0.500 KN22JD     Radio Veronika,Plovdiv/RRS Sahat tepe [NURTS Plovdiv] (PLD) 
 93.50   8381   0.210 KN23OJ     Radio 1,Levski/Shumata (PLV) (p)
 93.60 V 8380   0.664 KN22TL     BG Radio,Stara Zagora/NURTS Stara Zagora (STZ) 
         8220   0.500 KN12VK     BNR Hristo Botev,Ihtiman/RRS Ihtiman (SOF) 
       V 8389   0.500 KN12NA     Radio Vitosha,Blagoevgrad/Sgrada na Oblastnata Ulrava (BLG) 
         8384   0.340 KN23XT     Radio Fresh!,Ruse/RRTS Levent tabija (RUS) 
       V 838B   0.200 KN14KA     Radio Energy,Vidin/ZK Vasil Levski-blok 108-4 (VDN) 
 93.70 V 8220   0.537 KN22WW     BNR Hristo Botev,Elena/TVRS Elena - Golyamata chuka (VLT) 
 93.80 V 8381   3.000 KN33XF     Radio 1,Varna/NURTS Varna (VRN) 
       V 8380   0.200 KN32SA     BG Radio,Malko Tarnovo/NURTS Malko Tarnovo (BUR) 
       V 8068   0.080 KN12IG     Radio Ritam Plus,Kjustendil/bul. Rakovski 24-blok 3 (KYD) 
 93.90   805B   0.420 KN12PP     Radio K2,Sofia/Hotel Kemlinski-Zografski (SFG) 
       V 838B   0.320 KN23UC     Radio Energy,Veliko Tarnovo/NURTS Arbanasi (VLT) 
       V 8058   0.200 KN13TF     Hot FM,Vratsa/Veslets (VRT) 
 94.00 V 8234  10.640 KN22IA     BNR Radio Plovdiv,Plovdiv/RRTS Zdravets (PLD) 
         8236   0.500 KN33GE     BNR Radio Shumen,Targoviste/h. Mladost-RTS Kodzakuz (TGV) 
       V 8381   0.210 KN21QP     Radio 1,Kardzali/RRS Ivantsi [NURTS Kardzali] (KZL) 
 94.10 V 8384   3.000 KN32QL     Radio Fresh!,Burgas/kv. Meden Rudnik-Mestnost Shiloto [Deva broadcast] (BUR) 
         8389   1.000 KN11OI     Radio Vitosha,Petrich/Ilievska niva, hija Belasica (BLG) 
 94.20   8383   0.300 KN11QU     Radio Veselina,Razlog/NURTS Razlog (BLG) 
       V 8382   0.234 KN32EP     Radio FM+,Sliven/RPTS Deva Brodkast (SLI) 
       V 8381   0.200 KN23ID     Radio 1,Lovech/RRTS Stratesh (LOV) 
       V 837F   0.200 KN33UE     Radio Focus,Devnya/NURTS Beloslav (VRN) 
