 94.50 H 5202  20.000 JN99JC     SRo 4 Radio_FM,Zilina/Krizava (ZA) 
 94.60 V 5962   1.000 JN97CX     Mirjam Radio,Nove Zamky/Komin Elektrosvitu (NR) 
 94.70 V        1.000 JN98NQ     ,Banska Bystrica/Horne Prsany (Satro) (BB) (c)
       V        0.150 JN98BN     ,Topolcany/ul. Pilska (NR) (c)
 94.80 V 5345   1.000 KN08PR     Radio Antena Rock,Kosice/Heringes I. (KE) 
 94.90 V        0.300 JN98JS     ,Handlova/Raztocno (TVp) (TN) (c)
       V 5074   0.100 JN88NC     Radio Viva,Bratislava/Petrzalka-Kopcianska 10 (BA) 
       V 5074   0.030 JN88LE     Radio Viva,Bratislava/Devinska Nova Ves, sidlisko (BA) (p)
 95.00 C 5340   1.000 JN99TC     Fun Radio,Liptovský Mikulas/Haje (Towercom) (ZA) 
       H 5960   1.000 KN08AK     SRo 2 Radio Regina,Rimavska Sobota/Palaska (BB) 
       V        0.300 JN98AV     ,Trencin/Kozi Vrch (TN) (c)
       V        0.200 JN98HJ     ,Nova Bana/Brehy (TVp) (BB) (c)
       V 50E2   0.100 KN08WW     SKY Radio,Humenne (PO) 
 95.10 V 5345   0.251 JN99FC     Radio Antena Rock,Povazska Bystrica/Obvodný urad (Centrum 1/1) (TN) 
       V 521D   0.200 JN98KK     Radio Expres,Banska Stiavnica/Hajik (BB) 
 95.20 H 534F  10.000 JN98BI     Europa 2,Nitra/Zobor-horna stanica lanovky (NR) 
       V 521D   1.000 KN08OS     Radio Expres,Kosice/Bankov-bana, zasobnik (KE) 
       V 534F   0.250 JN99RJ     Europa 2,Namestovo/Veterna ul. - obytný dom (ZA) 
 95.30 V 521D   0.700 KN09HB     Radio Expres,Levoca/Úloza (PO) 
       V        0.500 KN08GP     ,Roznava/ul. Kozmonautov 1 (KE) (c)
 95.40 V 521D   0.500 JN99PF     Radio Expres,Dolný Kubin/Bysterec-vodaren (ZA) 
       V        0.250 JN99JK     ,Cadca/Jurosovský vrch (ZA) (p)
       V 521D   0.200 JN99KC     Radio Expres,Vrutky/ul. Hajska 14 (Doprastav) (ZA) 
       V 521D   0.100 JN99HG     Radio Expres,Bytca/Kotesova, Zahradniska (TVp) (ZA) 
 95.50 V 5355   0.500 JN88WS     Radio Best FM,Nove Mesto nad Vahom/ul. Banska-komin (TN) 
 95.60 H 5218   1.000 KN09OG     Radio Vlna,Bardejov/Mihalov - Rurna (TVp) (PO) 
       H 521B   1.000 JN88OO     SRo 3 Radio Devin,Borský Mikulas/Maria Magdalena (TT) 
       V 5355   0.500 JN98NS     Radio Best FM,Banska Bystrica/Kostiviarska-vodaren (BB) 
       V 5343   0.250 JN98CO     Radio Lumen,Topolcany/Norovce (NR) 
       V 5355   0.100 JN88ND     Radio Best FM,Bratislava/City Busines Center I (BA) 
 95.70 V 521D   1.000 KN08GP     Radio Expres,Roznava/hvezdaren (KE) 
       V 5218   0.200 KN08PR     Radio Vlna,Kosice/Heringes I. (KE) 
       V 5343   0.130 JN98BI     Radio Lumen,Nitra-Lupka/Kostol Sv. Urbana (NR) 
 95.80 V        0.100 JN98KO     ,Ziar nad Hronom/Sibenicný vrch II. (vodarna) (BB) (c)
 95.90 H 5345  10.000 KN18BW     Radio Antena Rock,Snina/Magurica (PO) 
       H 5201  10.000 JN99AA     SRo 1 Radio Slovensko,Trencin/Nad Oborou (TN) 
       V        0.500 JN99TC     ,Liptovský Mikulas/Haje (ZA) (c)
 96.00 H 5218   5.000 JN98TM     Radio Vlna,Lucenec/Tanovo (BB) 
       V 5071   0.125 JN88ND     Radio SiTy,Bratislava/City Busines Center I (BA) 
 96.10 H 521B  10.000 KN09HG     SRo 3 Radio Devin,Stara Lubovna/Kotnik (PO) 
       H 51B2   1.000 JN99JK     Radio Frontinus,Cadca/Pod Jurosovským-Brehy (ZA) 
       V 5343   0.200 JN88QP     Radio Lumen,Senica/Silazna Veza-komin (TT) 
       V 5218   0.200 JN98AH     Radio Vlna,Nitra/Klokocina-vodaren (NR) 
 96.20 V 50B2   1.000 JN99LB     Radio Frontinus,Martin/nam. Jozefa Cigera Hronskeho 1 (SNK) (ZA) 
       V 521B   0.500 KN08PQ     SRo 3 Radio Devin,Kosice/Werferova ul. (KE) 
 96.30 H 5201  10.000 JN97HU     SRo 1 Radio Slovensko,Sturovo/Modrý vrch (NR) 
       H 5354   0.500 JN99TC     Radio Jemne,Liptovský Mikulas/Haje (Towercom) (ZA) 
       V 534F   0.250 JN99FC     Europa 2,Povazska Bystrica/Obvodný urad (Centrum 1/1) (TN) 
       V 521D   0.100 JN88US     Radio Expres,Stara Tura (TN) 
 96.40 H        1.000 JN98EO     ,Partizanske/vodarna Brodzany (TN) (c)
       V 521D   0.200 KN09DB     Radio Expres,Poprad/Velka - vodaren (PO) 
 96.50 V 521D   2.000 JN99TI     Radio Expres,Namestovo-Trstena/Uhlisko (ZA) 
       V 521D   0.500 JN98NS     Radio Expres,Banska Bystrica/Laskomer (BB) 
       V 521D   0.500 JN99JF     Radio Expres,Zilina/Duben (ZA) 
 96.60 H 5201 100.000 JN88NE     SRo 1 Radio Slovensko,Bratislava/Kamzik (BA) 
       H 5201 100.000 KN08RV     SRo 1 Radio Slovensko,Kosice/Dubnik (KE) 
       V 5201   0.050 KN09EJ     SRo 1 Radio Slovensko,Spisska Stara Ves/Sibenicna hora TVP (PO) 
       V 5201   0.050 KN09DH     SRo 1 Radio Slovensko,Mala Frankova/obec (PO) 
       V 5201   0.050 KN09CI     SRo 1 Radio Slovensko,Osturna/Polianka TVP (PO) 
 96.70 V        0.500 JN99TC     ,Liptovský Mikulas/Haje (ZA) (c)
 96.90 H 5960  30.000 KN08BV     SRo 2 Radio Regina,Poprad/Kralova hola (BB) 
       V 5566   0.500 JN98DR     Radio Muzika,Banovce nad Bebravou/ul. Na Vrsteku (komin) (TN) 
 97.00 V 5330   2.000 KN08VU     Radio Kosice,Strazske/komin Chemko (KE) 
       V 521D   0.250 JN98FG     Radio Expres,Levice/Velka Vapenna (NR) 
 97.20 H 521B  18.000 JN99JC     SRo 3 Radio Devin,Zilina/Krizava (ZA) 
       V        0.500 KN09PA     ,Presov/FNsP J. A. Reimana - Monoblok (PO) (c)
       H 5073   0.250 JN88NC     Radio The End,Bratislava/Blava Technopol (BA) 
       V 5D60   0.200 KN09WG     SRo 2 Radio Regina,Medzilaborce/Panska Kýcera (PO) 
       V 5073   0.100 JN88LE     Radio The End,Bratislava/Devinska Nova Ves-vodaren (BA) 
 97.30 H 5201   1.000 KN08GO     SRo 1 Radio Slovensko,Roznava/Dievcenska skala (KE) 
       V 5345   0.500 JN88UO     Radio Antena Rock,Piestany/Vrbove-komin teplarne (TT) 
 97.40 V        0.250 JN98BL     ,Topolcany/Sulovce - vodojem (NR) (c)
                                 SKY Radio,Stara Lubovna (PO) (p)
 97.60 H 5345 100.000 JN98MR     Radio Antena Rock,Banska Bystrica/Sucha hora (BB) 
       V 521B   0.250 KN09PD     SRo 3 Radio Devin,Raslavice/Hrabovec (PO) 
       H 5345   0.100 JN88LE     Radio Antena Rock,Bratislava/Devinska Nova Ves, OC (BA) 
 97.70 V 50E2   0.200 KN08PQ     SKY Radio,Kosice/Werferova ul. (KE) 
