       H A142   0.100 HP93MW     Útvarp Saga,Árborg/Selfoss-simstöð (SN) 
 99.30 H A201   0.200 IP05OL     RÚV Ras 1,Öxnadalsheiði (NE) 
 99.40 H A201   0.400 HP85JA     RÚV Ras 1,Grundarfjarðarbær/Grundarfjörður-Akurtraðir (VE) 
         A142         HP94BD     Útvarp Saga,Reykjavik/Hus verslunarinnar-Kringlan 7 (HO) 
 99.50 H A203   0.100 HP95LG     Bylgjan,Hrutafjarðarhals/Hvitabjarnarhóll (NV) 
       H A205   0.050 HP94AM     FM957,Borgarbyggð/Borgarnes-Tal tækjaskýli (VE) 
       H A201   0.040 IP24SO     RÚV Ras 1,Álftafjörður/Ósnes (AU) 
       H A202   0.030 IP24HG     RÚV Ras 2,Hornafjörður/Holt A-Skaft. (AU) 
       H A201   0.020 HP85BO     RÚV Ras 1,Talknafjarðarhreppur/Talknafjörður-Þinghóll (VF) 
         A202         IP05WQ     RÚV Ras 2,Akureyri/Glerarþorp (NE) 
 99.70 H A202   0.400 IP05BM     RÚV Ras 2,Blöndudalur 1/Tungunesmuli (NV) 
 99.80 H A201   8.800 IP25UF     RÚV Ras 1,Gagnheidi (AU) 
       H A201   0.040 IP15FQ     RÚV Ras 1,Goðafoss/Hrutey (NE) 
 99.90 H A202  24.000 HP94GF     RÚV Ras 2,Esju/Skalafell (HO) 
       H A201   0.400 IP05HS     RÚV Ras 1,Hjaltadalur/Laufhóll (NV) 
       H A202   0.200 HP86IB     RÚV Ras 2,Breiðadalsheiði/Þverfjall (VF) 
       H A205   0.100 IP06ND     FM957,Fjallabyggð/Siglufjörður-Hvanneyrarskal (NV) 
100.10 H A202   0.200 IP05VS     RÚV Ras 2,Eyjafjörður/Skipalón (NE) 
100.30 H A202   0.200 IP15BR     RÚV Ras 2,Fnjóskadalur/Hals (NE) 
       H A201   0.020 HP84JV     RÚV Ras 1,Grundarfjarðarbær/Grundarfjörður-simstöð (VE) 
100.50 H A202   0.200 IP05OL     RÚV Ras 2,Öxnadalsheiði (NE) 
       H A203   0.100 IP26CG     Bylgjan,Melrakkaslettu/Viðarfjall-Radióstöð (NE) 
         A251                    K100,Egilsstaðir (AU) 
         A251         HP94CC     K100,Kópavogur/Vatnsendi (HO) 
100.60 H A203   0.100 IP06QM     Bylgjan,Ólafsfjörður/Við höfnina (NE) 
100.70 H        2.000 HP94CC     ,Kópavogur/Vatnsendi (HO) (c)
100.90 H A203   2.000 HP93UK     Bylgjan,Vestmannaeyjabær/Vestmannaeyjar-Klif (SL) 
       H A203   0.100 IP16IB     Bylgjan,Norðurþing/Husavik-Husavikurfjall (NE) 
       H A203   0.100 IP24JG     Bylgjan,Hornafjörður/Höfn-simstöð (AU) 
       H A203   0.100 HP85PB     Bylgjan,Stykkishólmsbær/Stykkishólmur-simstöð (VE) 
       H A202   0.080 IP05RX     RÚV Ras 2,Dalvikurbyggð/Dalvik-Hóll (NE) 
101.10                HP94BC     ,Kópavogur/Hamraborg 1 (HO) (c)
101.30 H A203   0.100 HP75XO     Bylgjan,Vesturbyggð/Patreksfjörður-Við höfnina (VF) 
       H A201   0.100 IP16SH     RÚV Ras 1,Norðurþing/Kópasker-simstöð (NE) 
       H A142   0.100 IP15AS     Útvarp Saga,Akureyri/Vaðlaheiði (NE) 
                      HP94BM     FM Óðal 101,3,Borgarbyggð (VE) 
101.40 H A202   0.200 HP95HO     RÚV Ras 2,Ennishöfdi (VF) 
101.50 H        2.000 HP94DC     80’s FlashBack,Reykjavik/Geithals (HO) 
       H A202   0.100 IP26OA     RÚV Ras 2,Langanesbyggð/Bakkafjörður-simstöð (NE) 
101.70 H A205   2.000 HP93UK     FM957,Vestmannaeyjabær/Vestmannaeyjar-Klif (SL) 
       H A205   0.100 HP85PB     FM957,Stykkishólmsbær/Stykkishólmur-simstöð (VE) 
       H A205   0.100 IP06QM     FM957,Ólafsfjörður/Við höfnina (NE) 
                      IP15AS     Volume 101.7,Akureyri/Vaðlaheiði (NE) 
101.90   A203   0.100 HP94FS     Bylgjan,Borgarbyggð/Borgarfjörður-Bifröst GSM hus (VE) 
         A203         HP85GU     Bylgjan,Ísafjarðarbær/Þingeyri (VF) 
                      IP15AS     Retró,Akureyri/Vaðlaheiði (NE) 
102.10 H A2B1  10.000 HP94CC     Útvarp Saga,Kópavogur/Vatnsendi (HO) 
       H        0.500 IP05HV     Útvarp Kantrýbær,Skagafjörður/Hofsós (NV) 
       H A205   0.100 IP24JG     FM957,Hornafjörður/Höfn-simstöð (AU) 
       H A205   0.100 IP16IB     FM957,Norðurþing/Husavik-Husavikurfjall (NE) 
       H A205   0.100 HP86KC     FM957,Ísafjarðarbær/Ísafjörður-Arnarnes (VF) 
         A203         HP95DQ     Bylgjan,Strandabyggð/Hólmavik-Skeljavikurhals (VF) 
102.30 H A203   0.100 IP06ND     Bylgjan,Fjallabyggð/Siglufjörður-Hvanneyrarskal (NV) 
102.40 H A202   0.020 HP84JV     RÚV Ras 2,Grundarfjarðarbær/Grundarfjörður-simstöð (VE) 
102.50   F999         IP15AS     Kiss FM,Akureyri/Vaðlaheiði (NE) 
         A202         IP04CC     RÚV Ras 2,Burfell (SL) 
                                 Sport FM,Reykjavik (HO) 
102.70 H A201   1.000 IP05EG     RÚV Ras 1,Skagafjörður/Þrandarhliðarfjall (NV) 
       H A251         HP93UK     K100,Vestmannaeyjabær/Vestmannaeyjar-Klif (SL) 
         F999                    Kiss FM,Egilsstaðir (AU) 
102.90 H A20D  10.000 HP94CC     Lindin,Kópavogur/Vatnsendi (HO) 
       H A20D   0.100 IP24JG     Lindin,Hornafjörður/Höfn-simstöð (AU) 
       H A20D   0.100 HP86KC     Lindin,Ísafjarðarbær/Ísafjörður-Arnarnes (VF) 
         A20D         IP25NS     Lindin,Vopnafjarðarhreppur/Vopnafjörður-Andresarklettur (AU) 
         A202         HP95AJ     RÚV Ras 2,Tjaldanes/Saurbær (VE) 
