102.10 V A04F   5.000 KM73SU     Radio Rotana FM,Beirut (BEI) 
102.30 V A2EB  76.000 KM73TU     Loubnan al-Horr=R.Liban Libre,Beit Mery (JLB) 
                      KM74WF     Loubnan al-Horr=R.Liban Libre,Hardine=Hardeen (ASL) 
102.50 V A2EB  50.000 KM73WX     Loubnan al-Horr=R.Liban Libre,Faraya Mzaar (JLB) 
102.70        100.000 KM73SU     Loubnan al-Horr=R.Liban Libre,Beirut/Achrafieh (BEI) 
       V       90.000 KM74XK     Loubnan al-Horr=R.Liban Libre,Tripoli/Jabal Tourbol (ASL) 
       V       20.000 KM73TW     Loubnan al-Horr=R.Liban Libre,Dbayeh (JLB) 
103.00 V A2E3         KM73TU     Pax Radio,Beit Mery (JLB) 
103.30 V              KM73SV     Pax Radio,Beirut (BEI) 
103.40                KM84BA     Radio Rotana Delta,Jib Jennine (Beqaa) (BEQ) 
103.50   F135         KM74WK     Iza'at el Tawhid al Islami,Tripoli (ASL) 
103.70 V noPI  76.000 KM73SV     Sawt al-Shaab,Beirut (BEI) 
       V       38.000 KM74VI     Sawt al-Shaab,Fih=Fiaa (ASL) 
       V       10.000 KM73WU     Sawt al-Shaab,Zahle/Tell el Hemmar (BEQ) 
103.80 V       25.000 KM73SQ     ,Deïr al-Qamar (JLB) (p)
103.90                           Sawt al-Shaab,unknown 
104.00                KM73TX     Sawt al-Shaab,Jounieh=Junia (JLB) 
104.10 V       80.000 KM73SR     Sawt al-Shaab,Aabey (JLB) 
104.30   F143         KM74WK     Dream FM,Tripoli (ASL) 
                      KM73OG     Sawt Al Farah,Tyre=Tyros (JAN) 
104.40 V A396  50.000 KM73SU     Mix FM,Beirut/Achrafieh (BEI) 
104.50                KM73WT     Mix FM,Zahle/Tell Chiha (BEQ) 
         F405         KM74WK     Radio Royal,Tripoli (ASL) 
104.70                KM74XK     Mix FM,Tripoli/Jabal Tourbol (ASL) 
       V noPI         KM73SU     Mix FM,Beirut (BEI) 
104.90                KM73SU     Kiss FM Classics,Beirut (BEI) 
         A2B1         KM73SU     Radio al-Fajr FM,Beirut (BEI) 
105.10   A201  22.800 KM73SR     Radio One,Aabey (JLB) 
                0.200 KM74TA     Radio One,Fatqa (JLB) 
105.30                KM84BA     Radio One,unknown (BEQ) 
105.50 V A201  45.000 KM73TU     Radio One,Beit Mery (JLB) 
       V        4.500 KM73WT     Radio One,Zahle/Tell Chiha (BEQ) 
       V              KM74XK     Radio One,Tripoli/Jabal Tourbol (ASL) 
105.70                KM73SU     unid,Beirut (BEI) 
105.80 V A1CC   5.000 KM73XS     Sawt al-Mahaba=Voix de la Charite,Jabal Terbol (Beqaa) (BEQ) 
       V        0.300 KM74UH     Sawt al-Mahaba=Voix de la Charite,Chekka (ASL) 
       V        0.300 KM73SI     Sawt al-Mahaba=Voix de la Charite,Nabatieh=Nabatiya (NAB) 
