 95.30 H 4201  10.000 KN11HG     Makedonsko Radio 1 - Radio Skopje,Boskija (SE) 
       H 4201   3.000 KN01HM     Makedonsko Radio 1 - Radio Skopje,Debar/Stogovo (SW) 
         4201         KN01JB     Makedonsko Radio 1 - Radio Skopje,Ohrid/Konjsko (SW) 
         4201         KN01HH     Makedonsko Radio 1 - Radio Skopje,Globocica (SW) 
         4202         KN01JL     Makedonsko Radio 2 (Vtora prog.),Dusegubica (SW) 
 95.50 H 4221   1.000 KN01QX     Radio Antenna 5,Skopje/Vodno (SK) 
       H 4221   0.500 KN01LK     Radio Antenna 5,Kicevo/Cocon (SW) 
 95.70 H 4202   0.050 KN11LO     Makedonsko Radio 2 (Vtora prog.),Dvoriste 2 (VA) 
 95.90 H 4202   1.000 KN11LS     Makedonsko Radio 2 (Vtora prog.),Bukovik (EA) 
 96.10 H 4202   5.000 KN01OA     Makedonsko Radio 2 (Vtora prog.),Bitola/Pelister (PE) 
 96.20 H 4201   0.500 KN12AD     Makedonsko Radio 1 - Radio Skopje,Stracin (NE) 
 96.30 H 4202   5.000 KN02KA     Makedonsko Radio 2 (Vtora prog.),Tetovo/Popova Sapka (PO) 
         4202         KN01XL     Makedonsko Radio 2 (Vtora prog.),Kavadarci/Ljubas (VA) 
 96.50 H 4202   5.000 KN11IV     Makedonsko Radio 2 (Vtora prog.),Golak (EA) 
         4203         KN11GD     Makedonsko Radio 3 (Treta prog.),Gevgelija (MRD) (SE) 
         4203         KN01FN     Makedonsko Radio 3 (Treta prog.),Spas (SW) 
                      KN01LM     Radio Akord,Kicevo/Kale (SW) 
 96.70                KN01VP     CD Radio,Veles/Trpezica (VA) 
 96.80 H 4201   0.050 KN01HO     Makedonsko Radio 1 - Radio Skopje,Rostusa (PO) 
                      KN01QX     Radio Fortuna,Skopje/Sredno Vodno (SK) 
 96.90   D220         KN11HL     Metropolis Radio Network,Susevo (SE) 
 97.00          0.500 KN01JE     Super Radio,Ohrid/Gorenicka Cuka (SW) 
         4201         KN01HP     Makedonsko Radio 1 - Radio Skopje,Zirovnica (PO) 
                      KN01LM     Radio Uskana,Kicevo/Kale (SW) 
 97.30 H 4201   5.000 KN01UU     Makedonsko Radio 1 - Radio Skopje,Veles/Crn Vrv (VA) 
         4203         KN01NG     Makedonsko Radio 3 (Treta prog.),Sopotnica (PE) 
 97.50                KN02MA     Radio Fama,Tetovo/Gajre (PO) 
 97.70 H 4202  10.000 KN01HC     Makedonsko Radio 2 (Vtora prog.),Mali Vlaj (SW) 
                      KN01NR     Makedonsko Radio 3 (Treta prog.),Fojnik (SW) 
                      KN01XU     Radio Modea FM,Sveti Nikole/ul. Veljko Vlahovikj 40-B (EA) 
 97.80 H 4202  10.000 KN11KI     Makedonsko Radio 2 (Vtora prog.),Belasica (SE) 
       H 4202   0.050 KN01PX     Makedonsko Radio 2 (Vtora prog.),Matka (SK) 
 97.90 H 4201   1.000 KN11KQ     Makedonsko Radio 1 - Radio Skopje,Berovo (EA) 
       H 4221   0.500 KN11IV     Radio Antenna 5,Golak (EA) 
       H 4221   0.500 KN01XL     Radio Antenna 5,Kavadarci/Ljubas (VA) 
 98.10 H 4202  10.000 KN11HG     Makedonsko Radio 2 (Vtora prog.),Boskija (SE) 
       H 4203   1.000 KN01LK     Makedonsko Radio 3 (Treta prog.),Kicevo/Cocon (SW) 
       H        0.250 KN01QX     Radio Rosa,Skopje/Vodno (SK) 
       H 4202   0.050 KN01UG     Makedonsko Radio 2 (Vtora prog.),Dunje (PE) 
         4201         KN01SJ     Makedonsko Radio 1 - Radio Skopje,Treskavec (PE) 
 98.30 H 4203   5.000 KN02KA     Makedonsko Radio 3 (Treta prog.),Tetovo/Popova Sapka (PO) 
 98.40 H 4202   0.200 KN02UD     Makedonsko Radio 2 (Vtora prog.),Kumanovo (NE) 
 98.50   2308         KN01XL     Radio Kavadarci,Kavadarci/Ljubas (VA) 
 98.60 H 4203   5.000 KN12EE     Makedonsko Radio 3 (Treta prog.),Kriva Palanka (NE) 
         4202         KN11HJ     Makedonsko Radio 2 (Vtora prog.),Popcevo (SE) 
 98.70                KN01MJ     Makedonsko Radio 2 (Vtora prog.),Vitoliste (PE) 
         4202         KN01HH     Makedonsko Radio 2 (Vtora prog.),Globocica (SW) 
         4000         KN01RF     Radio Meff,Topolcani (PE) 
 98.80 H        1.000 KN01JD     Radio Ohrid,Ohrid/Hotel Sonceva porta (SW) 
 98.90 H 4201  10.000 KN01QX     Makedonsko Radio 1 - Radio Skopje,Skopje/Vodno (SK) 
         4202         KN00KX     Makedonsko Radio 2 (Vtora prog.),Tomoros (PE) 
 99.00   D220         KN11IV     Metropolis Radio Network,Golak (EA) 
 99.20   4201         KN11GD     Makedonsko Radio 1 - Radio Skopje,Gevgelija (MRD) (SE) 
 99.30 H 4202   0.100 KN01JR     Makedonsko Radio 2 (Vtora prog.),Mavrovo/Vlajnica (PO) 
 99.40 H D220   0.500 KN01QX     Metropolis Radio Network,Skopje/Sredno Vodno (SK) 
 99.50   D220         KN01LK     Metropolis Radio Network,Kicevo/Cocon (SW) 
 99.70 H 4203   5.000 KN11ET     Makedonsko Radio 3 (Treta prog.),Stip/Turtel (EA) 
 99.80   4203         KN01JB     Makedonsko Radio 3 (Treta prog.),Ohrid/Konjsko (SW) 
 99.90 H 4203   0.200 KN01UN     Makedonsko Radio 3 (Treta prog.),Izvor (VA) 
       H 4201   0.100 KN12EG     Makedonsko Radio 1 - Radio Skopje,Zidilovo (NE) 
       H 4202   0.050 KN01HO     Makedonsko Radio 2 (Vtora prog.),Rostusa (PO) 
100.20                KN01PN     Radio Moris-Plus,Makedonski Brod (SW) 
100.30   42C9         KN11DJ     Kanal 77,Demir Kapija (VA) 
100.40 H 4203   0.050 KN01PX     Makedonsko Radio 3 (Treta prog.),Matka (SK) 
         4201         KN02UD     Makedonsko Radio 1 - Radio Skopje,Kumanovo (NE) 
         4203         KN01LQ     Makedonsko Radio 3 (Treta prog.),Srbinovo (PO) 
100.50   4221   0.100 KN11HK     Radio Antenna 5,Strumica/Carevi Kuli (SE) 
         4202         KN01NX     Makedonsko Radio 2 (Vtora prog.),Grupcin (PO) 
                      KN01QA     Radio 105,Bitola (PE) 
         FFFF         KN11CO     Radio Puls,Serta (EA) 
100.60                KN01KT     Radio Roma,Gostivar (PO) 
100.80          0.500 KN01QX     Jazz FM,Skopje/Sredno Vodno (SK) 
         4202         KN01KJ     Makedonsko Radio 2 (Vtora prog.),Mramorec (SW) 
101.00 H 4202   3.000 KN01HM     Makedonsko Radio 2 (Vtora prog.),Debar/Stogovo (SW) 
         42C9                    Kanal 77,Bosilcevo 
         4202         KN01PI     Makedonsko Radio 2 (Vtora prog.),Krusevo (PE) 
         4203         KN01JL     Makedonsko Radio 3 (Treta prog.),Dusegubica (SW) 
                      KN02LA     Radio Bleta,Tetovo/Kaleto (PO) 
101.10                KN11HK     Ekspres Radio,Strumica/Bair (SE) 
101.20   4202         KN01LO     Makedonsko Radio 2 (Vtora prog.),Oslomej (SW) 
         D220         KN01QA     Metropolis Radio Network,Bitola/Tumbe Kafe (PE) 
                      KN01JC     MX Radio,Ohrid/SRC Biljanini izbori (SW) 
101.30 H 4203   5.000 KN01UU     Makedonsko Radio 3 (Treta prog.),Veles/Crn Vrv (VA) 
101.50   42C9         KN11GD     Kanal 77,Gevgelija/Mrzenski Rid (SE) 
         4203         KN01HH     Makedonsko Radio 3 (Treta prog.),Globocica (SW) 
101.60                           Radio BP,Visni (SW) 
101.70 V 4201   0.200 KN01PN     Makedonsko Radio 1 - Radio Skopje,Makedonski Brod 1/Lokvica (SW) 
                      KN01LU     Radio Zëri i Çegranit,Cegrane (PO) 
101.80 H 42C9         KN11ET     Kanal 77,Stip/Turtel (EA) 
101.90   4221   0.300 KN01JH     Radio Antenna 5,Crvena Voda/Pesocani (SW) 
         42C9                    Kanal 77,Kozle 
       H 42C9         KN02KA     Kanal 77,Tetovo/Popova Sapka (PO) 
102.10                KN01SI     Radio Holidej,Prilep/Zito Prilep (PE) 
102.20 H        0.250 KN01IE     Radio Deejay,Struga (SW) 
         4078         KN01XL     Radio Galaxy,Kavadarci/Ljubas (VA) 
102.30   42C9         KN11EP     Kanal 77,Ali Koc (SE) 
                      KN02LA     Radio Plus Forte,Tetovo/Kaleto (PO) 
102.40   4202         KN11GD     Makedonsko Radio 2 (Vtora prog.),Gevgelija (MRD) (SE) 
102.50          0.500 KN01QX     Sky Radio,Skopje/Sredno Vodno (SK) 
102.60 H 4203   5.000 KN01OA     Makedonsko Radio 3 (Treta prog.),Bitola/Pelister (PE) 
102.70   42C9         KN02UD     Kanal 77,Kumanovo/Stari Lozja (NE) 
       H 42C9         KN11IV     Kanal 77,Golak (EA) 
102.90   42C9         KN11HL     Kanal 77,Susevo (SE) 
103.00 H        0.500 KN01QX     Kanal 103,Skopje/Vodno (SK) 
       H 4201   0.100 KN01JR     Makedonsko Radio 1 - Radio Skopje,Mavrovo/Vlajnica (PO) 
       H 4202   0.050 KN12CC     Makedonsko Radio 2 (Vtora prog.),Kratovo 2 (NE) 
         42C9         KN11CR     Kanal 77,Stip 1/Isar (EA) 
         42C9         KN11CR     Kanal 77,Stip/Seljak (EA) 
                      KN01VP     Radio Goldi,Veles/Ilindenska 2/36 (VA) 
                      KN01NL     Radio Mis,Plasnica (SW) 
103.20   42C9         KN11CO     Kanal 77,Serta (EA) 
         42C9         KN01QA     Kanal 77,Bitola/Tumbe Kafe (PE) 
103.30 H 4221   0.500 KN01HC     Radio Antenna 5,Mali Vlaj (SW) 
       H        0.250 KN01IE     Radio Art Kanal,Struga (SW) 
         4221   0.150 KN01JL     Radio Antenna 5,Dusegubica (SW) 
         4221         KN01JE     Radio Antenna 5,Ohrid/Gorenicka Cuka (SW) 
103.40 H 4202   1.000 KN01SA     Makedonsko Radio 2 (Vtora prog.),Tepavci (PE) 
                0.500 KN01QX     Club FM,Skopje/Sredno Vodno (SK) 
         42C9         KN11HG     Kanal 77,Boskija (SE) 
103.80   42C9         KN01WV     Kanal 77,Sveti Nikole/Gjuriste (EA) 
104.00   4201         KN01JR     Makedonsko Radio 1 - Radio Skopje,Mavrovo/Koza (PO) 
104.10   42C9         KN01TG     Kanal 77,Prilep/Dve Steni (PE) 
         42C9         KN01JL     Kanal 77,Dusegubica (SW) 
104.20   4221         KN11HG     Radio Antenna 5,Boskija (SE) 
         4221                    Radio Antenna 5,Mal Radobil 
104.30 H 4203   1.000 KN11LS     Makedonsko Radio 3 (Treta prog.),Bukovik (EA) 
         D220         KN02MA     Metropolis Radio Network,Tetovo/Kaleto 
         D220         KN02LA     Metropolis Radio Network,Tetovo/Kaleto (PO) 
104.40          0.500 KN01QX     Zona M1,Skopje/Sredno Vodno (SK) 
         42C9         KN01PI     Kanal 77,Krusevo/Meckin Kamen (PE) 
         42C9         KN01MC     Kanal 77,Resen/Sopotsko-Meckina Jama (PE) 
104.50   4201         KN11IR     Makedonsko Radio 1 - Radio Skopje,Nov Dojran (EA) 
104.70                KN02LA     Radio Kiss,Tetovo/Kaleto (PO) 
104.80 H 4221   1.000 KN11ET     Radio Antenna 5,Stip/Turtel (EA) 
104.90   4203         KN02UD     Makedonsko Radio 3 (Treta prog.),Kumanovo (NE) 
         4203         KN01LO     Makedonsko Radio 3 (Treta prog.),Oslomej (SW) 
105.00                KN01QA     Radio Delfin,Bitola/Tumbe Kafe (PE) 
105.10 H 42C9   0.500 KN12AD     Kanal 77,Stracin (NE) 
105.20   4020         KN01QX     Radio Buba Mara,Skopje/Sredno Vodno (SK) 
105.30   D220         KN01XL     Metropolis Radio Network,Kavadarci/Ljubas (VA) 
105.40 H 4203  10.000 KN11HG     Makedonsko Radio 3 (Treta prog.),Boskija (SE) 
         42C9         KN01JE     Kanal 77,Ohrid/Gorenicka Cuka (SW) 
105.50 H 4221   0.500 KN12AD     Radio Antenna 5,Stracin (NE) 
         4221   0.150 KN01JR     Radio Antenna 5,Mavrovo/Vlajnica (PO) 
         42C9         KN01LK     Kanal 77,Kicevo/Cocon (SW) 
                      KN01MJ     Makedonsko Radio 3 (Treta prog.),Vitoliste (PE) 
105.80   D220         KN01WV     Metropolis Radio Network,Sveti Nikole/Gjuriste (EA) 
106.00 H 42C9         KN01OA     Kanal 77,Bitola/Pelister (PE) 
         42C9         KN01XL     Kanal 77,Kavadarci/Ljubas (VA) 
         42C9         KN11HK     Kanal 77,Strumica/Bair (SE) 
                      KN01LM     Radio Aleksandar Makedonski,Kicevo/Ilinica (SW) 
106.10   4203         KN01NX     Makedonsko Radio 3 (Treta prog.),Grupcin (PO) 
106.30   4221   0.300 KN11DJ     Radio Antenna 5,Demir Kapija (VA) 
         4221   0.100 KN02UD     Radio Antenna 5,Kumanovo (NE) 
         4221         KN01PI     Radio Antenna 5,Krusevo (PE) 
106.40   3FC2         KN11CS     Radio Angels FM,Stip/Karakus (EA) 
                      KN01KT     Radio Kometa,Gostivar/ul. Goce Delcev (PO) 
106.50   44A1   0.500 KN01QX     Capitol Radio,Skopje/Sredno Vodno (SK) 
         4202         KN01JB     Makedonsko Radio 2 (Vtora prog.),Ohrid/Konjsko (SW) 
106.60   FFFF         KN01QA     Radio 106,Bitola (PE) 
106.80 H 4203  10.000 KN11KI     Makedonsko Radio 3 (Treta prog.),Belasica (SE) 
       H 42C9         KN12EG     Kanal 77,Zidilovo (NE) 
         42C9         KN01JI     Kanal 77,Belcista/Slavej Planina 
106.90 H 4221   0.300 KN02KA     Radio Antenna 5,Tetovo/Popova Sapka (PO) 
         42C9                    Kanal 77,Faris 
       H 42C9         KN01HC     Kanal 77,Mali Vlaj 2 (SW) 
107.00   4221         KN11BG     Radio Antenna 5,Udovo (SE) 
107.10   9000   0.025 KN01VQ     Radio 5 FM,Veles/Sveti Ilija (VA) 
107.40                KN01QX     Kanal 4,Skopje/Sredno Vodno (SK) 
         4201         KN00KX     Makedonsko Radio 1 - Radio Skopje,Tomoros (PE) 
         4203         KN01XL     Makedonsko Radio 3 (Treta prog.),Kavadarci/Ljubas (VA) 
107.50                           Radio Rrapi,Visni (SW) 
107.70 H 4203  10.000 KN11IV     Makedonsko Radio 3 (Treta prog.),Golak (EA) 
