       V        1.200 KM07LS     Skai 90.2,Zakynthos/Skopos (ION-ZAK) 
       V 1007   1.000 KM18BG     Master FM,Aigion (WGR-AKH) 
 90.30 H 1203  10.000 KM17DI     ERA 3 Trito Programma,Assea-Tsemperou (PEL-ARK) 
       V 1000   8.000 KN21KD     Paradise Radio 90.3,Xanthi/Moni Panagias (EMC-XAN) 
       V 1000   5.000 KM18EV     Metro 90,3,Lamia/Profitis Ilias (CGR-FTH) 
         10F5   3.700 KM18KL     Ellinikos 90.3,Livadia/Pera Horio (CGR-VOI) 
       V 1076   1.000 JM99WS     Kyma FM,Kerkyra/Mt. Pantokratoras (ION-KER) 
       V        1.000 KN21BD     Psithiri 90,3,Drama/Korylovos (EMC-DRA) 
       V 139F   1.000 KM09SP     Radio Meteora,Kalampaka/Koromilia (THE-TRI) 
 90.40 V 0012  40.000 KM17VX     Kanali 1 Piraeus,Athina/Ymittos (ATT) 
       H 1202  35.000 KM36XG     ERA 2 Deutero Programma,Rodos/Profitis Ilias (SEG-DOD) 
       V        5.000 KN10NO     904 Aristera sta FM,Thessaloniki/Hortiatis (CMC-TSK) 
       V        5.000 KM08WG     Laikos Patras 90.4,Patra/Panahaiko (WGR-AKH) 
       V        1.000 KM38BI     Radio Alfa Omega (Hios),Hios (NEG-KHI) 
       V 109E   1.000 KM25MI     Super 90.4 FM,Iraklion/Rogdia (KRT-IRA) 
       V 1201   0.500 KN31CP     ERA 1 Proto Programma,Pentalofos [ERT] (EMC-EVR) 
                      KM46TD     ERA 2 Deutero Programma,Kastellorizo (SEG-DOD) 
         1204         KM18BM     ERA Sport,Lidoriki (CGR-FOK) 
 90.50 H 1201   8.000 KM17HS     ERA 1 Proto Programma,Borsas (24 NAF) 
       V        2.500 KN20EW     Radio Ena 90.5,Kavala/Vasilaki (EMC-KAV) 
       V 1012   1.300 KM08JT     Studio Lefkatas,Lefkada/Elati (ION-LEV) 
       V        1.010 KM18LA     RTP FM 90.5,Korinthos/Ossios Patapios (PEL-KOR) 
         1D05   1.000 KM06WW     Palmos 90.5,Kalamata/Likodimo/Petalidi (PEL-MES) 
                1.000 KM17DI     Palmos 90.5,Assea-Tsemperou (PEL-ARK) 
       V        1.000 KM19HR     Zoom FM (Larissa),Larissa/Kissavos-Anatoli (THE-LAR) 
         5450         KM07WF     Palmos 90.5,Kiparissia/Aetos (PEL-MES) 
         5452         KM07TD     Palmos 90.5,Filiatra (PEL-MES) 
 90.60 H 1202 100.000 KN00QP     ERA 2 Deutero Programma,Florina & Kastoria/Vitsi (WMC-FLO) 
