       V 8203   0.030 JO22KI     NPO 3FM,Amsterdam/Cellnex Toren (NHO) 
       V 8203   0.030 JO21FM     NPO 3FM,Roosendaal/Cellnex Toren (NBR) 
       V 8203   0.003 JO22EC     NPO 3FM,Den Haag/Cellnex Toren (ZHO) 
 96.60 V 8421   1.000 JO23WE     RADIONL,Leeuwarden/Ceresweg (FRI) 
       V 83E1   0.910 JO11WM     Radio Veronica,Goes/Cellnex Toren (ZEE) 
 96.70 V 8421   0.500 JO33LA     RADIONL,Stadskanaal/Willem Drenthlaan (GRO) 
 96.80 V 8203  72.430 JO22MA     NPO 3FM,IJsselstein/Gerbrandytoren (UTR) 
 96.90 V D04E   1.122 JO20XW     AFN Benelux-The Eagle,Brunssum/Afnorth RHQ (LIM) (c)
       V 8421   0.724 JO33MD     RADIONL,Winschoten/Nassaustraat (GRO) 
       V 8008   0.500 JO31BI     Omroep Venlo,Venlo/Hamelstraat (LIM) 
