       V        1.000 IO52US     ,Keeper Hill (TA) (p)
       V 251F   0.100 IO54VM     Ocean FM,Ballyshannon (DL) 
       V        0.100 IO52WL     ,Tipperary (TA) (c)
 94.80 M 2207   2.500 IO51SV     Classic Hits,Cork/Hollyhill (CO) 
       V 2411   2.000 IO63IW     Northern Sound,Slieve Glah (CN) 
       V 2207   0.200 IO51GP     Classic Hits,Bantry (CO) 
       V 2422   0.200 IO62KG     WLR FM,Waterford (WD) 
       V              IO52GP     Raidió Corca Baiscinn,Kilrush (CE) 
 94.90 V 2207   1.500 IO63VG     Classic Hits,Three Rock Mountain (D) 
         2424                    East Coast FM,Avoca (WW) 
 95.00 V        5.000 IO51AP     ,Castletownbere/Knockgour (KY) (p)
       M 241B   4.000 IO52PR     Live 95,Woodcock Hill (CE) 
 95.10 V 2422   5.000 IO62EB     WLR FM,Faha (WD) 
       V 2422   0.005 IO62KG     WLR FM,Waterford (WD) 
 95.20 M 2203  40.000 IO64UC     RTÉ Lyric FM,Clermont Carn (LH) 
       V 2412   1.000 IO52NR     Clare FM,Shannon (CE) 
       V 2207   0.800 IO52UH     Classic Hits,Mitchelstown (CO) 
       V 2414   0.500 IO54SX     Highland Radio,Arranmore Island (DL) 
 95.30 V 2420   0.200 IO62HI     Tipp FM,Carraig na Siuire (TA) 
       V 241B   0.150 IO52LK     Live 95,Newcastle West (LK) 
 95.40 V 2207  10.000 IO51JR     Classic Hits,Nowen Hill (CO) 
       V 241E   0.050 IO53FT     Midwest Radio,Westport (MO) 
       V 241A   0.020            Midlands 103,Athlone (Sheraton Hotel) (WH) 
       V 241E   0.020 IO53CV     Midwest Radio,Mulranny (MO) 
 95.50 V 241D   2.000 IO63SG     LMFM,Saggart Hill (Red Gap) - Slievethoul (D) 
       V 2412   0.600 IO52MU     Clare FM,Ennis/Burren Hill (CE) 
                0.050            WLR FM,Ballymacarbry (WD) 
 95.60 V 2423  10.000 IO62OO     South East Radio,Mount Leinster (CW) 
       M        0.500 IO52UD     ,Fermoy/Macroney (CO) (p)
       V 2084   0.200 IO52VF     Cork's 96FM,Kilworth Hills (CO) 
 95.70 V 241C   0.020 IO53UX     Shannonside FM,Boyle (RN) 
       V 241A   0.010 IO63GG     Midlands 103,Tullamore (OY) 
         2434         IO63WE     Radio Nova,Bray Head (WW) 
 95.80 V 241D   7.500 IO63RS     LMFM,Collon/Mount Oriel (LH) 
       V 2084   5.000 IO51JR     Cork's 96FM,Nowen Hill (CO) 
       V 2417   0.250 IO53AM     Galway Bay FM,Clifden/Cregg Hill (G) 
       V 2417   0.100 IO53KH     Galway Bay FM,Tonabrocky (G) 
 95.90 V 2412   1.000 IO52PR     Clare FM,Woodcock Hill (CE) 
 96.00 V 2419   0.500 IO62LG     KCLR 96FM,Corbally Wood (KK) 
       V 2423   0.100 IO62SI     South East Radio,Wexford (WX) 
       V        0.100 IO63VI     ,Ballyfermot (D) (c)
       V 2084   0.050 IO51TT     Cork's 96FM,Carrigaline/Cobh (CO) 
 96.10 V 241E   5.000 IO53LU     Midwest Radio,Kiltimagh (MO) 
       V 2084   1.000 IO52NC     Cork's 96FM,Mount Hillary (CO) 
       V 241A   0.010            Midlands 103,Castlepollard (WH) 
 96.20 V 2424   2.000 IO63SG     East Coast FM,Saggart Hill (Red Gap) - Slievethoul (D) 
       M 2424   1.000 IO63WE     East Coast FM,Bray Head (WW) 
       V        1.000 IO63GG     ,Tullamore (OY) (i)
       V 2418   0.500 IO41TU     Radio Kerry,Cahirciveen/Kilkeaveragh (KY) 
       V 241A   0.250 IO63IA     Midlands 103,Portaloise (LS) 
       V        0.100 IO62JP     KCLR 96FM,Kilkenny (KK) 
       V 2423   0.030 IO62VQ     South East Radio,Gorey (WX) 
 96.30 V 2411   5.000 IO64LE     Northern Sound,Corcaghan (MN) 
 96.40 M 2412   6.000 IO52PX     Clare FM,Maghera (CE) 
       V 2084   2.000 IO51SV     Cork's 96FM,Cork/Hollyhill (CO) 
       V 2423   0.400 IO62RH     South East Radio,Forth Mountain (WX) 
       V              IO63SI     Liffey Sound FM,Lucan (D) 
 96.50 V 241D   0.600 IO64UB     LMFM,Castletown Mount (LH) 
       V 241D   0.250            LMFM,Carlingford (LH) 
       V 241A   0.250 IO63IM     Midlands 103,Mullingar (WH) 
       V 241D   0.020            LMFM,Athboy (MH) 
       V 241D   0.020            LMFM,Trim (MH) 
 96.60 V 2419   5.000 IO62KR     KCLR 96FM,Mountnugent (KK) 
                0.200            Clare FM,Ballina/Killaloe (TA) 
       V 2418   0.100 IO52GC     Radio Kerry,Killarney (KY) 
 96.70 M 2203   5.000 IO63VG     RTÉ Lyric FM,Three Rock Mountain (D) 
 96.80 V 2417   5.000 IO53PJ     Galway Bay FM,Abbeyknockmoy Hill (G) 
       V 2084   0.050 IO51SQ     Cork's 96FM,Kinsale (CO) 
       V        0.050 IO52QP     ,Limerick (LK) (c)
 96.90 V 23E2   5.000 IO64DW     iRadio,Letterkenny/Scalp (DL) 
       V        0.500 IO62NU     KCLR 96FM,Carlow (CW) 
 97.00 M 2202  40.000 IO64UC     RTÉ 2FM,Clermont Carn (LH) 
       C 2418  20.000 IO51KX     Radio Kerry,Mullaghanish (CO) 
 97.10 V 2420   1.600 IO62DI     Tipp FM,Clonmel (TA) 
       M 241E   1.500 IO43XW     Midwest Radio,Achill Island/Minaun Heights (MO) 
 97.20 V 241C   1.000            Shannonside FM,Slieve Aneirin=Slaibh an Iarainn (LM) 
       V 2417   0.500 IO53MC     Galway Bay FM,Gort (G) 
       V 2418   0.300 IO52DF     Radio Kerry,Knockmoyle (KY) 
       V 2207   0.200 IO61BW     Classic Hits,Youghal/Monatrea (CO) 
       V 241E   0.020 IO52ST     Midwest Radio,Ballina (TA) 
 97.30 V 2410   0.500 IO62LT     KFM Kildare,Rossmore (LS) 
 97.40 V 2207   4.000 IO52OB     Classic Hits,Bweeng Mountain (CO) 
       V 2207   0.200 IO51TT     Classic Hits,Carrigaline (CO) 
       V 2417   0.125 IO53WF     Galway Bay FM,Ballinasloe/Redmount Hill (G) 
         2016                    98FM,Balbriggan (D) 
 97.50 V 2422   7.900 IO62KG     WLR FM,Carrickpherish (WD) 
       V 2411   0.020 IO63PX     Northern Sound,Carrickmacross (MN) 
 97.60 V 2410   2.000 IO63SG     KFM Kildare,Saggart Hill (Red Gap) - Slievethoul (D) 
       V 2418   1.000 IO52EM     Radio Kerry,Knockanore (KY) 
       V 2418   0.250 IO42WD     Radio Kerry,Dingle Head (KY) 
 97.70 V        0.100 IO64TA     Dundalk FM,Dundalk (LH) 
 97.80 M 2203 126.000 IO54TI     RTÉ Lyric FM,Truskmore (SO) 
       M 2203   3.000 IO51US     RTÉ Lyric FM,Crosshaven (CO) 
 97.90 M 2203   3.000 IO51AP     RTÉ Lyric FM,Castletownbere/Knockgour (KY) 
       M 2203   1.000 IO62DI     RTÉ Lyric FM,Clonmel (TA) 
       M 2203   1.000 IO65LF     RTÉ Lyric FM,Moville/Crockaulin (DL) 
       M 2203   0.100 IO62KG     RTÉ Lyric FM,Waterford/Gallow's Hill (WD) 
       V        0.050 IO63AK     ,Athlone (RTE) (WH) (c)
 98.00 M 2203   2.000 IO53FG     RTÉ Lyric FM,Casla (G) 
       M 2203   1.000 IO52DF     RTÉ Lyric FM,Knockmoyle (RTE) (KY) 
       V              IO53VI     ,Ballinasloe (G) (c)
 98.10 C 2016  12.000 IO63VG     98FM,Three Rock Mountain (D) 
       M 2203   3.000 IO62DB     RTÉ Lyric FM,Dungarvan/Carronadavderg 2 (WD) 
 98.20 M 2203   0.100 IO52UH     RTÉ Lyric FM,Mitchelstown (RTE) (CO) 
 98.30 M 2203   1.000 IO51GP     RTÉ Lyric FM,Bantry (CO) 
       V 20AC   0.100 IO51SV     UCC 98.3 FM,Cork/University College (UCC) (CO) 
       M 2203   0.050 IO42SD     RTÉ Lyric FM,Maamclassach (KY) 
 98.40 M 2203 158.500 IO52PX     RTÉ Lyric FM,Maghera (CE) 
       V        1.000 IO63SG     ,Saggart Hill (Red Gap) - Slievethoul (D) (i)
       M 2203   0.150 IO55VD     RTÉ Lyric FM,Magheraroarty (DL) 
       V        0.100 IO63NO     ,Athboy (MH) (i)
 98.50 M 2203   2.500 IO64LE     RTÉ Lyric FM,Monaghan/Lugad Hill (RTE) (MN) 
       M 2203   2.000 IO65II     RTÉ Lyric FM,Malin Head (DL) 
 98.60 M 2203   3.000 IO62II     RTÉ Lyric FM,Suir Valley/Fiddown Hills (KK) 
       M 2203   0.010 IO51SQ     RTÉ Lyric FM,Kinsale (CO) 
 98.70 M 2203  50.000 IO63TE     RTÉ Lyric FM,Kippure (WW) 
       V 2203   2.000 IO52EM     RTÉ Lyric FM,Knockanore (KY) 
 98.80 M 2203   6.000 IO65HA     RTÉ Lyric FM,Hollywell Hill (DL) 
       M 2203   5.000 IO51RU     RTÉ Lyric FM,Cork/Spur Hill (CO) 
       V 2203   0.060 IO42TE     RTÉ Lyric FM,Ballydavid (KY) 
 98.90 M 2203   3.000 IO53HW     RTÉ Lyric FM,Castlebar/Croaghmoyle (MO) 
       M 2203   0.020 IO63AK     RTÉ Lyric FM,Athlone (RTE) (WH) 
 99.00 M 2203   2.500 IO52PR     RTÉ Lyric FM,Woodcock Hill (RTE) (CE) 
       M 2203   0.050 IO52UD     RTÉ Lyric FM,Fermoy/Macroney (CO) 
 99.10 M 2203   3.000 IO53AM     RTÉ Lyric FM,Clifden/Cregg Hill (G) 
       M 2203   3.000 IO41TU     RTÉ Lyric FM,Cahirciveen/Kilkeaveragh (KY) 
       V 2203   1.000 IO63WD     RTÉ Lyric FM,Greystones/Bellevue (WW) 
       V        0.500 IO63VI     ,Tallaght (D) (c)
 99.20 M 2203 200.000 IO62OO     RTÉ Lyric FM,Mount Leinster (CW) 
       M 2203   3.000 IO54SX     RTÉ Lyric FM,Arranmore Island (DL) 
 99.30 V       10.000 IO65LF     ,Moville/Crockaulin (DL) (i)
       M 2203   0.500 IO64DS     RTÉ Lyric FM,Ballybofey (DL) 
       M 2203   0.100 IO53HA     RTÉ Lyric FM,Lahinch=Lehinch (CE) 
       M 2203   0.050 IO51SV     RTÉ Lyric FM,Cork/Collins Barracks (CO) 
 99.40 M 2203   4.000 IO65EF     RTÉ Lyric FM,Fanad (DL) 
       V        4.000 IO53LG     ,Galway (G) (c)
                1.000 IO64HA     Christmas FM,Cavan (CN) (t)
       V        0.500 IO63VI     ,Dublin (D) (c)
 99.50 M 2203   3.000 IO43XW     RTÉ Lyric FM,Achill Island/Minaun Heights (MO) 
