       V        2.000 IM85AF     Medradio,Al Hoceïma/Palomas (1) 
       V 1202   1.000 IM83DH     SNRT Chaine Inter,Outat El Haj (3) 
       V        1.000 IM70FA     SNRT Quran,Tagounite (8) 
         1201         IM62DX     SNRT Al Idaa Al-Watania,Settat/Regraga (6) 
 91.70 H 1201  12.000 IM74VB     SNRT Al Idaa Al-Watania,Taza/Jebel Tazakka (3) 
       M 1204  12.000 IM61BF     SNRT Quran,Marrakech/Oukaïmeden (7) 
       V 125A   8.000 IM75HN     Radio Mars,Tetouan-Ville (1) 
       V        3.000 IL48KK     Medradio,Tan-Tan (10) 
       V        2.000 IM71MQ     SNRT Chaine Inter,Goulmima (8) 
       V 1118   1.000 IM52LR     Hit Radio,Oualidia (6) 
       V        1.000 IM51DF     ,Smimou (7) (p)
 91.80 H 1202  20.000 IM75BS     SNRT Chaine Inter,Tanger/Cap Spartel (1) 
       H 1201  12.000 IM71VK     SNRT Al Idaa Al-Watania,Erfoud (8) 
       V        6.310 IL37NW     SNRT Chaine Inter,Tarfaya (11) 
       V 111C   2.000 IM50EK     Radio Mars,Agadir/Oufella (9) 
       V 1118   0.500 IM63KN     Hit Radio,Ben Slimane (El Hajiba) (6) 
       V 1118   0.500 IM70CH     Hit Radio,Zagora (8) 
       V        0.200 IM72CL     SNRT Chaine Inter,Tizi N'Isly (5) 
 91.90 H        5.000 IM92ID     SNRT Al Idaa Al-Watania,Figuig (2) 
       M 1356   2.000 IM73FV     Radio Sawa,Meknès (3) 
       V 1005   1.580 IM84PX     Radio 2M,Zaio (2) 
       V 1201   1.580            SNRT Al Idaa Al-Watania,Dar Talleb (9) 
       V 1116   1.000 IL49XA     Aswat,Guelmim/Fogo (10) 
       V        1.000 IM50GQ     SNRT Chaine Inter,Idaoutanane (9) 
       V        1.000 IM74XT     SNRT Chaine Inter,Bouzineb (3) 
       V 1B01   0.500 IM75VA     SNRT Al Idaa Al Amazighia,Babet (1) 
 92.00 V        3.160            Medi 1,Laayayda (4) 
       V 1118   3.000 IM60NV     Hit Radio,Ouarzazate (8) 
       V        1.000 IM50WX     SNRT Chaine Inter,Talaat N'Yakoub (7) 
       V 1118   0.500 IM84XA     Hit Radio,Aïn Beni Mathar (2) 
       V        0.500 IM75HC     MFM Chamal,Chefchaouen (1) 
 92.10 H 1202   5.000 IM85AF     SNRT Chaine Inter,Al Hoceïma/Palomas (1) 
       V        1.000 IM62TH     SNRT Al Idaa Al-Watania,Khmis Oulad Ayad (5) 
       V        1.000 IM62DX     SNRT Al Idaa Al-Watania,Settat/Regraga (6) 
       V 111C   0.500 IM74QM     Radio Mars,Taounate (3) 
         1204         IL48KK     SNRT Quran,Tan-Tan (10) 
 92.20 V 1283  10.000 IM73KK     MFM Saïss,Ifrane/Azougar (3) 
       V 125B   3.000 IM84XR     Medradio,Oujda/Meghrez (2) 
       V 1118   1.580 IM74BG     Hit Radio,Sidi Slimane (4) 
       V 1281   1.410 IM60AM     Medi 1,Taliouine=Taliwine Ville (9) 
       V        1.260 IM75IQ     MFM Chamal,Fnideq/Mdieq (1) 
       V 1201   1.260 IM50NK     SNRT Al Idaa Al-Watania,Taroudant (9) 
       V 1281   1.000 IM52LR     Medi 1,Oualidia (6) 
       V 1357   0.320 IM62AL     Atlantic Radio,Skhour des Rehamna (7) 
                      IM75HL     MFM,Tetouan/Hafa Safa (1) (u)
 92.30 V 1119   3.000 IM52IH     Atlantic Radio,Safi (7) 
       V 111C   3.000 IM75BS     Radio Mars,Tanger/Cap Spartel (1) 
       V        2.000 IM60NB     SNRT Al Idaa Al-Watania,Foum Zguid (9) 
       V 1229   1.000 IM62NV     Chada FM,Khouribga (5) 
       V        1.000 IL59KS     Radio Azawan,Tafraoute (9) 
       V        1.000 IM84CS     SNRT Chaine Inter,Tizi Ouasli (3) 
       V        1.000 IM71CI     SNRT Chaine Inter,Imider (9) 
       V        1.000 IM74RA     SNRT Chaine Inter,Bouzemlane (3) 
 92.40 V 1201   3.160 IM73CC     SNRT Al Idaa Al-Watania,Khenifra=Xnifra (5) 
       V 1CCA   3.000 IM50EK     Radio Plus,Agadir/Oufella (9) 
       V        1.000 IM73SP     SNRT Al Idaa Al Amazighia,Adrej (3) 
       V        1.000            SNRT Chaine Inter,Aoufous (8) 
       V        0.200 IM74VS     SNRT Chaine Inter,Thar Es-souk (3) 
 92.50 V 1357   5.000 IM63EM     Atlantic Radio,Casablanca/Aïn Chock (6) 
       V 1259   4.000 IM75HL     Chada FM,Tetouan/Hafa Safa (1) 
       V        1.000 IL48KK     Radio 2M,Tan-Tan/Airport (10) 
       V        1.000 IM62RF     SNRT Al Idaa Al-Watania,Afourar (5) 
       V 1602   1.000 IM74GA     SNRT Radio Regionale de Meknès,Meknès/Jebel Zerhoune (3) 
       V              IM74VB     ,Taza/Jebel Tazakka (3) (p)
 92.60 V       10.000 IL59DQ     SNRT Chaine Inter,Tiznit (9) 
       V 1118   3.000 IM84PX     Hit Radio,Zaio (2) 
       V        1.000 IM62WA     SNRT Al Idaa Al-Watania,Tilouguite (5) 
       V        1.000            SNRT Al Idaa Al-Watania,N'Kob (8) 
 92.70 H       12.000 IL59KS     Radio 2M,Tafraoute (9) 
       V       10.000 IM73GH     ,Tiguelmamine (3) (p)
       V        3.000 IM53RF     Cap Radio,El Jadida (6) 
       V 111C   1.000 IM74TW     Radio Mars,Targuist (1) 
       V        1.000 IM62NV     Radio Plus,Khouribga (5) 
       V        0.950 IL37NW     Radio 2M,Tarfaya (11) 
         1116                    Aswat,Midelt Ville (8) 
 92.80 V 1116   3.000 IM51GR     Aswat,Essaouira/Jbel Lahdid (7) 
       V 1118   1.000 IM74EV     Hit Radio,Sar Sar (4) 
 92.90 H 1201  20.000 IM62SE     SNRT Al Idaa Al-Watania,Beni-Mellal/Tazerkounte (5) 
       V 135A   3.000 IM74GA     Medina FM,Meknès/Jebel Zerhoune (3) 
       V        2.000 IM84XR     Cap Radio,Oujda/Meghrez (2) 
       V        1.580            SNRT Al Idaa Al-Watania,Aday (10) 
       V        1.580            SNRT Al Idaa Al-Watania,Akka Ighane (9) 
       V 1005   1.000 IM62DX     Radio 2M,Settat/Regraga (6) 
 93.00 V        3.160 IM60AM     Radio 2M,Taliouine=Taliwine Ville (9) 
