 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 91.30 V        1.000 JN96LX     ,Dunaujvaros / Water tow.- Martinovics str. (FEJ) (p)
 91.40 H B206   1.200 KN07TO     Dankó Radió,Debrecen / Pallagi str. (NagyerdQ) (HAB) 
       H B0AA   0.050 JN96DE     Magyar Katolikus Radió,Komló / Szilvas, Water tower (BAR) 
                      JN97ML     ,Budapest (BUD) (p)
                      JN97ML     ,Budapest (BUD) (c)
 91.50 V        1.000 JN87TP     ,GyQr / Szabadhegy (GYO) (c)
 91.60 H B203   6.800 JN86HW     MR 1 Kossuth Radió,Vasvar - Hegyhatsal (VAS) 
       V B206   2.000 KN06DO     Dankó Radió,Szentes (CSO) 
       V B31B   1.000 JN96HS     Karc FM,Cece (FEJ) (p)
       V        0.001 JN97MP     Radió Szentendre,Szentendre / V8 Swimming Pool (PES) 
 91.70 H B3AA   1.200 JN96PO     Magyar Katolikus Radió,KiskQrös / PetQfi Sandor sq. 3. (BAK) 
       V BECC   0.100 JN97QM     Maria Radió,Pecel / Varhegy str. (PES) 
 91.80 V B4A3   0.500 KN07EW     Szent Istvan Radió,Eger/Nagy-Eged (HEV) 
       V        0.160 KN07NH     ,Püspökladany / Water tower, Tancsics Mihaly str. (HAB) (c)
 91.90 H B203   1.000 KN08TJ     MR 1 Kossuth Radió,Satoraljaujhely / Magas-hegy (BAZ) 
 92.00 H B203   0.100 JN96KP     MR 1 Kossuth Radió,Paks / Szerüskert (TOL) 
 92.10 V B421   2.200 JN97ML     Klasszik Radió,Budapest/Gellert-hegy (BUD) 
 92.20 V        0.500 JN86PT     Magyar Katolikus Radió,Keszthely/GyötrQs-tetQ (ZAL) (p)
       V B447   0.280 KN07CE     Aktiv Radió,Szolnok/Katonavaros, high-rise (JNS) 
       V B206   0.035 JN96LE     Dankó Radió,Baja / Gabonataroló (grain silo) (BAK) 
       V        0.035 JN96LE     ,Baja / Árpad sq. 1. (BAK) (c)
 92.30 H B203   0.450 JN97ED     MR 1 Kossuth Radió,Szekesfehervar/Maroshegy, AHZRT Site (FEJ) 
       V B0AA   0.300 KN07TN     Magyar Katolikus Radió,Debrecen / High-rise, Lehel str. (HAB) 
 92.40 V        0.300 JN97MN     Rallye Radió,Budapest/Harmashatar-hegy (BUD) (t)
                0.010 JN97PP     ,ErdQkertes (PES) (c)
                0.010 KN08HC     ,Miskolc-Diosgyör (BAZ) (c)
                0.010 JN97UV     ,Paszto (NOG) (c)
       V        0.010 KN08HG     ,Kazincbarcika (BAZ) (c)
                0.010 JN97LI     ,Szazhalombatta (PES) (c)
       V        0.001 JN97XS     MaxiRadió,Gyöngyös / PetQfi Sandor str. 35 (HEV) 
 92.50 V B3AA   0.630 JN97JT     Magyar Katolikus Radió,Esztergom / Aranyhegy, Szent Janos köz (KOE) 
       V B1CC   0.166 JN87NG     Maria Radió,Celldömölk / Brickworks, Water tower (VAS) 
       H B00A   0.100 JN97VD     Cegled Radió,Cegled / Gubody str. (PES) 
 92.60 V B317   1.200 JN96AV     Radió 1,Siófok/Balatonszeplak, GSM Tower (SOM) 
