       V E0D7   0.500 JP93HH     Pop och Rock, Radio Nolaskogs, Radio Örnsköldsvik, Radio Korsväg, Studio Eim, Semesterpratarna,Örnsköldsvik/Åsberget TM (VN) 
       V EB42   0.200 JO67NL     Mix Megapol,Svenljunga/Viseberg Comviq (VG) 
       V E245   0.200 JP70NC     Star FM,Ludvika/Björkås Teracoms mast (DA) 
       V        0.100 JP70NC     ,Ludvika/Björkås Teracoms mast (DA) (c)
 89.90 H E201  60.000 JP74XF     SR P1,Tåsjö/Hoting-Tåsjöberget TM (JM) 
       V E201   8.000 JO58VI     SR P1,Uddevalla/Herrestad TM (VG) 
       V E089   1.000 JP80JO     Radio Sandviken,Sandviken/Värmeverket (GA) 
       V E243   0.250 JP90HB     Mix Megapol,Hallstavik (ST) 
       H E201   0.080 JP97FL     SR P1,Vietas/Juobmotjåkkå RM (NO) 
       C        0.010 JO76WS     ,Nybro/Vattugatan 4 (KA) (c)
 90.00 H E201  60.000 JO88FQ     SR P1,Norrköping/Kolmården-Krokek Orrbergen TM (OG) 
       V E243   0.500 KP04KE     Mix Megapol,Robertsfors/VT (VB) 
       V E243   0.500 JO69BJ     Mix Megapol,Årjäng/Huksåsen TM (VR) 
       H E402   0.300 KP18GJ     SR P2,Karesuando/Kaarevaara TM (NO) 
       H E201   0.100 JP83OD     SR P1,Sollefteå-Hallsta/Hallstaberget TM (VN) 
       H E201   0.030 JP62KT     SR P1,Ljungdalen/Dalsjöberget TM (JM) 
       H E201   0.015 JP96VW     SR P1,Porjus/Porjusberget TM (NO) 
 90.10 H E201  30.000 JO67UF     SR P1,Finnveden (Gislaved)/Bredaryd Skyttebo TM (JO) 
       H E402   3.000 JO79BQ     SR P2,Filipstad/Klockarhöjden TM (VR) 
       V E245   2.500 KP15BO     Star FM,Luleå/Mjölkuddsberget TM (NO) 
       V        0.150 KP05XN     ,Luleå/Måttsundsberget/Skidbacken (NO) (c)
       H E402   0.030 JP63BH     SR P2,Storlien/Visjövalen TM (JM) 
       V        0.020 JO99AI     (special event station),Stockholm (ST) (t)
 90.20 V E402  60.000 JP81KQ     SR P2,Hudiksvall/Forsa-Storberget TM (GA) 
       V E2A0   3.000 JO78MM     Rockklassiker,Motala/Falehagen (OG) 
       H E402   0.300 JP61PB     SR P2,Transtrand/Kastarberget TM (DA) 
       V        0.250 JP73CH     Radio Krokom,Krokom/Ytterån Åse (JM) 
       V E002   0.250 JO65LO     Radio Topp 40, Malmö Kanalen,Malmö/Västra Varvsgatan 34/Turning Torso (SN) 
       V E241   0.200 JO57XV     RIX FM,Kungälv/Munkegärde/TM (VG) 
       V E09E   0.200 JO99FH     Skärgårdsradion,Värmdö/Hemmesta (ST) 
       V        0.081 JO57XV     ,Kungälv/Munkegärde/TM (VG) (c)
       H E201   0.030 JP75NB     SR P1,Kultsjön/Vilhelmina Stor-Nassjo TM (VB) 
       H E201   0.030 JP61ES     SR P1,Drevdagen/Idre Drevdagen TM (DA) 
 90.30 H E201  20.000 JO89VU     SR P1,Uppsala/Vedyxa TM (UP) 
       H E201  15.000 JO76JF     SR P1,Karlshamn/Mörrum-Gungvala TM (BL) 
       V E241   2.000 JP93UO     RIX FM,Nordmaling/Håknäs (VB) 
       V        1.000 JP93UO     ,Nordmaling/Håknäs (VB) (c)
       H E201   0.300 JP63KJ     SR P1,Duved/Helgsmålshögen TM (JM) 
       V E2A0   0.100 JO58PI     Rockklassiker,Kungshamn/TM (VG) (p)
       H E201   0.100 JP73CW     SR P1,Hotagen/Föllinge Hotagen TM (JM) 
 90.40 H E201  10.000 JO67EC     SR P1,Varberg/Rolfstorp-Grimeton TM (HA) 
       V E241   1.000 JO79OO     RIX FM,Lindesberg/Sødra Vreten/Europolitan RM (OR) 
       V        1.000 JO79OO     ,Lindesberg/Sødra Vreten/Europolitan RM (OR) (c)
       V        0.500 JO68VJ     Radio Skövde,Skövde/Åsbotorp 2/Billingen TM (VG) 
       H E201   0.300 JP96VN     SR P1,Jokkmokk/Tjalmejaure-Ruoutevare TM (NO) 
       V E245   0.200 JP70SP     Star FM,Falun/Lövberget TM (DA) 
       V        0.175 JO88XV     ,Nynäshamn/Vattentornet (ST) (p)
       V        0.100 JP70SP     ,Falun/Lövberget TM (DA) (c)
       V E390   0.050 JO65RL     Retro FM,Skurup/Saritslövsvägen (SN) 
       H E201   0.030 JP83JP     SR P1,Junsele/Oselberget TM (VN) 
       H E402   0.030 JP74BS     SR P2,Jormvattnet/Stora Blåsjön Jormvattnet TM (JM) 
 90.50 H E201  30.000 JO77TW     SR P1,Kisa (Kinda)/TM (OG) 
       V E201  15.000 JO69QJ     SR P1,Karlstad/Sörmon TM (VR) 
       V E2A0   0.500 JO65QV     Rockklassiker,Eslöv/Stehag/Ringsjöverket (SN) 
       H E402   0.200 JP82JR     SR P2,Liden/Storberget TM (VN) 
       V        0.200 JP82XW     ,Bjärtrå/Snödåsberget TM (VN) (c)
       V        0.100 JO89WJ     Radio Peyvand,Stockholm-Vällingby/Husby Gård 11 (ST) 
       H E201   0.100 JO99IS     SR P1,Norrtälje/Södra Bergen VT (ST) 
       V        0.040 JO89WI     MRS 90½,Stockholm-Vällingby/Bräckegatan 2 (ST) 
       V        0.040 JO89WI     Stockholm Västerort,Stockholm-Vällingby/Bräckegatan 2 (ST) 
       H E201   0.030 JP75MS     SR P1,Hemavan/Skorvfjället TM (VB) 
 90.60 H E201  60.000 KP05PQ     SR P1,Älvsbyn/Brännberget TM (NO) 
       H E201  60.000 JP71DV     SR P1,Sveg/Brickan (Härjedalen) TM (JM) 
       H E402  30.000 JO76ET     SR P2,Vislanda (Alvesta)/Nydala TM (KB) 
       V E040   0.500 JO68DH     Radio Trollhättan,Trollhättan/Skogshöjden VT (VG) 
 90.70 H E201  60.000 JO89EP     SR P1,Västerås/Lillhärad TM (VM) 
       V E5FB   0.200 JO57XP     Pirate Rock,Mölndal/Västerberget TM (VG) 
       V E241   0.200 JO75DO     RIX FM,Simrishamn/Baskemölla Gladsax Ekevall TM (SN) 
       H E201   0.100 JP73TU     SR P1,Strömsund/Grelsgård TM (JM) 
       H E201   0.030 JP98DK     SR P1,Vassijaure/Kiruna Vassijaure TM (NO) 
 90.80 H E201  60.000 KP17OG     SR P1,Pajala/Jupukka TM (NO) 
       H E201  60.000 JP93HH     SR P1,Örnsköldsvik/Åsberget TM (VN) 
       V E220   2.000 JO77KU     NRJ,Aneby/Löversmålen Europolitan (JO) 
       V E220   1.000 JP81EI     NRJ,Bollnäs (Bergsjö)/Bolleberget TM (GA) 
       V        1.000 JP81EI     ,Bollnäs (Bergsjö)/Bolleberget TM (GA) (c)
       V        1.000 JO77JT     ,Aneby/Skärsjö (JO) (c)
       V E028   0.300 JO68SE     Radio Falköping,Falköping/Mösseberg TM (VG) 
       V E245   0.150 JO68AN     Star FM,Färgelanda (VG) (p)
       V E241   0.100 JO58PI     RIX FM,Kungshamn/TM (VG) 
       V E201   0.100 JP61ME     SR P1,Sälen/Tandådalen TM (DA) 
       H E201   0.030 JP86OD     SR P1,Laisvall/Björnberget TM (NO) 
       V        0.020 JO58PI     ,Kungshamn/kom mast vid VT (VG) (c)
 90.90 H E201  60.000 JO69KU     SR P1,Sunne/Blåbärskullen TM (VR) 
       H E245   3.000 KP04LS     Star FM,Skellefteå/Prästfäbodsberget TM (VB) 
       V        2.000 KP04LS     ,Skellefteå/Vitberget RM (VB) (c)
       V E245   1.000 JO76TD     Star FM,Karlskrona/Vämö-Bryggareberget TM (BL) 
       V        1.000 JO87AF     ,Högsby/Berga (KA) (p)
       V        0.300 JO87FR     Radio Wix,Västervik/Fårhult TM (KA) (i)
       V EB42   0.200 JO67HM     Mix Megapol,Kinna/Skene-Sopstation (VG) 
       V E2A6   0.100 JO89TE     Lugna Klassiker,Södertälje/Blombacka VT (ST) 
       V E243   0.100 JP90AG     Mix Megapol,Östhammar/Valö TM (UP) 
       V        0.100 JO99JG     ,Runmarö/Söderby (ST) (p)
       H E201   0.030 JP96HX     SR P1,Seitevare/Kvikkjokk Seitevare TM (NO) 
 91.00 V E241   3.000 JO68DG     RIX FM,Trollhättan/Källstorpsvägen 2/Strömslund TM (VG) 
       V E220   1.250 JO66VC     NRJ,Hässleholm/Tormestorp TM (SN) 
       V E220   0.500 JO67VI     NRJ,Gnosjö/Gamlebo Europolitan (JO) 
       V E220   0.300 JO99IS     NRJ,Norrtälje/Lommarskogen/Europolitan (ST) 
       V        0.250 JO66VC     ,Hässleholm/Tormestorp TM (SN) (c)
